省,市,区,全名,别名,性质,等级
河南省,郑州市,管城区,郑州华夏白癜风医院,郑州华夏中医白癜风医院,公立/专科医院,未评级
河南省,郑州市,管城区,郑州金华针刀门诊部,郑州金华针刀门诊部,民营/综合医院,一级甲等
河南省,郑州市,管城区,郑州华泰医院,郑州华泰医院,民营/综合医院,民营医院
河南省,郑州市,管城区,郑州陇海医院,郑州陇海医院,民营/综合医院,未知
河南省,郑州市,管城区,中国抗癌协会郑州分会和平医院,中国抗癌协会郑州分会和平医院,公立/综合医院,一级甲等
河南省,郑州市,管城区,郑州市管城中医院肿瘤科,郑州市管城中医院肿瘤科,公立/专科医院,三级甲等　　
河南省,郑州市,管城区,中国人民解放军郑州技术医院,郑州精神病医院_郑州精神卫生中心,公立/综合医院,三级甲等　　
河南省,郑州市,管城区,解放军郑州技术医院,郑州失眠医院_郑州抑郁症医院,公立/综合医院,未评级
河南省,郑州市,管城区,郑州市管城回族区人民医院,郑州市管城回族区人民医院,公立/综合医院,一级甲等
河南省,郑州市,管城区,郑州市管城区中医院,管城中医院,公立/综合医院,二级甲等
河南省,郑州市,管城区,郑州市第三人民医院,郑州市第三人民医院,公立/综合医院,二级甲等
河南省,郑州市,管城区,华仁医院河南省中医研究院附属癫痫病医院,华仁医院河南省中医研究院附属癫痫病医院,公立/综合医院,一级甲等
