省,市,区,全名,别名,性质,等级
河南省,平顶山市,汝州市,汝州市卫校附属医院,汝州市卫校附属医院,公立/综合医院,未知
河南省,平顶山市,汝州市,汝州市卫校,汝州市卫校,公立/综合医院,未知
河南省,平顶山市,汝州市,河南省矿业建设工程第一公司职工医院,河南省矿业建设工程第一公司职工医院,公立/综合医院,未知
河南省,平顶山市,汝州市,汝州市第四人民医院,汝州市第四人民医院,公立/综合医院,未知
河南省,平顶山市,汝州市,汝州市第二人民医院,汝州市第二人民医院,公立/综合医院,二级甲等
河南省,平顶山市,汝州市,汝州市第一人民医院,汝州市第一人民医院,公立/综合医院,二级甲等
河南省,平顶山市,汝州市,汝州市中医院,汝州市中医院,公立/综合医院,二级甲等
河南省,平顶山市,汝州市,汝州市第三人民医院,汝州市第三人民医院,公立/综合医院,二级甲等
河南省,平顶山市,汝州市,中国有色总公司六建职工医院,中国有色总公司六建职工医院,公立/综合医院,一级甲等
河南省,平顶山市,汝州市,汝州市骨伤科医院,汝州市骨伤科医院,公立/综合医院,二级医院
河南省,平顶山市,汝州市,平顶山市梨元矿务局职工医院,平顶山市梨元矿务局职工医院,公立/综合医院,一级甲等
河南省,平顶山市,汝州市,汝州仁爱门诊部,汝州市仁爱门诊,民营/门诊,民营医院
