省,市,区,全名,别名,性质,等级
河南省,新乡市,辉县市,辉县市妇幼保健院,辉县市妇幼保健院,公立/综合医院,一级甲等
河南省,新乡市,辉县市,辉县市常村镇卫生院,辉县市常村镇卫生院,公立/综合医院,一级甲等
河南省,新乡市,辉县市,辉县市高庄乡卫生院,辉县市高庄乡卫生院,公立/综合医院,一级甲等
河南省,新乡市,辉县市,辉县市峪河镇卫生院,辉县市峪河镇卫生院,公立/综合医院,一级甲等
河南省,新乡市,辉县市,辉县市黄水乡卫生院,辉县市黄水乡卫生院,公立/综合医院,一级甲等
河南省,新乡市,辉县市,辉县市薄壁镇卫生院,辉县市薄壁镇卫生院,公立/综合医院,一级甲等
河南省,新乡市,辉县市,辉县市赵固乡卫生院,辉县市赵固乡卫生院,公立/综合医院,一级甲等
河南省,新乡市,辉县市,辉县市洪洲乡卫生院,辉县市洪洲乡卫生院,公立/综合医院,一级甲等
河南省,新乡市,辉县市,辉县市拍石头乡卫生院,辉县市拍石头乡卫生院,公立/综合医院,一级甲等
河南省,新乡市,辉县市,辉县市第二人民医院,辉县市城关镇卫生院,公立/综合医院,未知
河南省,新乡市,辉县市,辉县第四人民医院,辉县第四人民医院,公立/综合医院,未知
河南省,新乡市,辉县市,辉县第三人民医院,辉县第三人民医院,公立/综合医院,未知
河南省,新乡市,辉县市,辉县第二人民医院,辉县第二人民医院,公立/综合医院,未知
河南省,新乡市,辉县市,辉县市公费医院,辉县市公费医院,公立/综合医院,未知
河南省,新乡市,辉县市,辉县市第四人民医院,辉县市水利医院,公立/综合医院,未知
河南省,新乡市,辉县市,辉县市第三人民医院,辉县市第三人民医院,公立/综合医院,一级甲等
河南省,新乡市,辉县市,辉县市中医院,辉县市中医院,公立/综合医院,二级甲等
河南省,新乡市,辉县市,辉县市人民医院,辉县市人民医院,公立/综合医院,二级甲等
