省,市,区,全名,别名,性质,等级
河南省,安阳市,文峰区,安阳市妇幼保健院,安阳市妇幼保健院,公立/综合医院,二级甲等
河南省,安阳市,文峰区,安阳市精神病医院,安阳市精神病医院,公立/综合医院,未知
河南省,安阳市,文峰区,安阳市交通医院,安阳市交通医院,公立/综合医院,未知
河南省,安阳市,文峰区,安阳市糖尿病医院,安阳市糖尿病医院,公立/综合医院,一级甲等
河南省,安阳市,文峰区,安阳市第二人民医院,安阳市第二人民医院,公立/综合医院,二级甲等
河南省,安阳市,文峰区,安阳市灯塔医院,安阳市灯塔医院,公立/综合医院,二级甲等
河南省,安阳市,文峰区,安阳市眼科医院,安阳市眼科医院,公立/综合医院,未知
河南省,安阳市,文峰区,安阳市洹北糖尿病医院,安阳市洹北糖尿病医院,民营/专科医院,民营医院
河南省,安阳市,文峰区,安阳市天顺中医肛肠专科医院,安阳市天顺中医肛肠专科医院,民营/专科医院,民营医院
河南省,安阳市,文峰区,中国人民解放军第一五一医院,中国人民解放军第一五一医院,公立/综合医院,二级乙等
河南省,安阳市,文峰区,安阳市郊区人民医院,安阳市郊区人民医院,公立/综合医院,未知
河南省,安阳市,文峰区,安阳市口腔医院,安阳市口腔医院,公立/专科医院,二级乙等
河南省,安阳市,文峰区,安阳丽人医院,安阳丽人妇科女子医院,民营/综合医院,二级乙等
河南省,安阳市,文峰区,安阳县文峰区第二人民医院,安阳文峰男科医院（二院）,公立/综合医院,一级甲等
