省,市,区,全名,别名,性质,等级
河南省,漯河市,源汇区,漯河市第二人民医院五分院,漯河市第二人民医院五分院,公立/综合医院,未知
河南省,漯河市,源汇区,漯河市口腔医院,漯河市第二人民医院四分院,公立/专科医院,未知
河南省,漯河市,源汇区,漯河市第二人民医院三分院,漯河市第二人民医院三分院,公立/综合医院,未知
河南省,漯河市,源汇区,漯河市第二人民医院二分院,漯河市第二人民医院二分院,公立/综合医院,未知
河南省,漯河市,源汇区,漯河市第二人民医院一分院,漯河市第二人民医院一分院,公立/综合医院,未知
河南省,漯河市,源汇区,漯河市第六人民医院,漯河铁路医院,公立/综合医院,二级甲等
河南省,漯河市,源汇区,漯河市中医院,漯河市中医院,公立/综合医院,二级甲等
河南省,漯河市,源汇区,漯河市第三人民医院,漯河市妇幼保健院,公立/综合医院,二级甲等
河南省,漯河市,源汇区,漯河市第二人民医院,漯河市第二人民医院,公立/综合医院,二级甲等
河南省,漯河市,源汇区,漯河市中心医院,漯河市第一人民医院,公立/综合医院,三级甲等　　
河南省,漯河市,源汇区,漯河东方男科女子医院,漯河东方医院,民营/未知,未知
河南省,漯河市,源汇区,漯河医学高等专科学校第三附属医院,漯河医学高等专科学校第三附属医院,公立/综合医院,二级甲等
河南省,漯河市,源汇区,漯河职工医院（原漯河市离退休职工医院）,漯河职工医院,公立/综合医院,一级甲等
河南省,漯河市,源汇区,漯河市源汇区妇幼保健院,漯河市源汇区妇幼保健院,公立/妇幼保健医院,未知
河南省,漯河市,源汇区,漯河东方医院,漯河东方医院,公立/综合医院,一级甲等
