省,市,区,全名,别名,性质,等级
河南省,三门峡市,湖滨区,湖滨区人民医院,湖滨区人民医院,公立/综合医院,未知
河南省,三门峡市,湖滨区,三门峡市妇幼保健站,三门峡市妇幼保健站,公立/综合医院,二级乙等
河南省,三门峡市,湖滨区,三门峡阳光男科医院,三门峡阳光男科医院,民营/专科医院,未知
河南省,三门峡市,湖滨区,三门峡市中医院,三门峡市中医院,公立/综合医院,二级甲等
河南省,三门峡市,湖滨区,三门峡市中心医院,三门峡市中心医院,公立/综合医院,二级甲等
河南省,三门峡市,湖滨区,黄河三门峡医院,黄河三门峡医院,公立/综合医院,二级甲等
河南省,三门峡市,湖滨区,三门峡市人民医院,三门峡市人民医院,公立/综合医院,一级甲等
河南省,三门峡市,湖滨区,三门峡市红十字妇科医院,三门峡市红十字妇科医院,公立/综合医院,一级甲等
河南省,三门峡市,湖滨区,三门峡妇科医院,三门峡妇科医院,个体户/综合医院,一级甲等
河南省,三门峡市,湖滨区,三门峡武强颈肩腰腿痛医院,三门峡武强颈肩腰腿痛医院,个体户/综合医院,一级甲等
河南省,三门峡市,湖滨区,三门峡市湖滨区医院,三门峡市湖滨区医院,公立/综合医院,未知
河南省,三门峡市,湖滨区,三门峡康复医院,三门峡市精神病医院，三门峡市精神卫生中心,公立/综合医院,一级甲等
河南省,三门峡市,湖滨区,三门峡市湖滨区妇幼保健院,三门峡妇幼保健院,其他/专科医院,未知
河南省,三门峡市,湖滨区,三门峡小燕子牙科医院,小燕子牙科,个体户/综合医院,一级甲等
