省,市,区,全名,别名,性质,等级
河南省,三门峡市,灵宝市,灵宝乳腺病医院,商业医院,其他/综合医院,未知
河南省,三门峡市,灵宝市,灵宝市第三人民医院,灵宝市第三人民医院,公立/综合医院,一级甲等
河南省,三门峡市,灵宝市,灵宝精神康复医院,灵宝市精神病医院,其他/其他,未知
河南省,三门峡市,灵宝市,灵宝市商业局职工医院,灵宝市商业局职工医院,公立/综合医院,未知
河南省,三门峡市,灵宝市,灵宝市福寿堂眼科医院,灵宝市福寿堂眼科医院,民营/综合医院,未知
河南省,三门峡市,灵宝市,灵宝市黄金公司职工医院,灵宝市黄金公司职工医院,公立/综合医院,未知
河南省,三门峡市,灵宝市,灵宝市华侨医院,灵宝市华侨医院,公立/综合医院,未知
河南省,三门峡市,灵宝市,灵宝市痔瘘医院,灵宝市痔瘘医院,民营/专科医院,未知
河南省,三门峡市,灵宝市,灵宝市人民医院,灵宝市人民医院,公立/综合医院,二级乙等
河南省,三门峡市,灵宝市,灵宝市第二人民医院,灵宝市第二人民医院,公立/综合医院,二级甲等
河南省,三门峡市,灵宝市,灵宝市第一人民医院,灵宝市第一人民医院,公立/综合医院,二级甲等
河南省,三门峡市,灵宝市,灵宝市妇幼保健院,灵宝市妇幼保健院,公立/综合医院,二级甲等
河南省,三门峡市,灵宝市,灵宝市中医院,灵宝市中医院,公立/综合医院,二级甲等
河南省,三门峡市,灵宝市,黄金公司职工医院,黄金公司职工医院,公立/综合医院,一级甲等
