省,市,区,全名,别名,性质,等级
河南省,南阳市,邓州市,邓州市结核病防治所,邓州市结核病防治所,公立/综合医院,未知
河南省,南阳市,邓州市,邓州公费医疗医院,邓州市第三人民医院,公立/综合医院,未知
河南省,南阳市,邓州市,邓州市妇幼保健院,邓州市妇幼保健院,公立/综合医院,未知
河南省,南阳市,邓州市,邓州市周围血管病研究所,邓州市周围血管病研究所,公立/综合医院,未知
河南省,南阳市,邓州市,邓州市康复医院,邓州市康复医院,公立/综合医院,未知
河南省,南阳市,邓州市,邓州市骨伤医院,邓州市骨伤医院,公立/综合医院,一级甲等
河南省,南阳市,邓州市,邓州市中医院,邓州市中医院,公立/综合医院,二级甲等
河南省,南阳市,邓州市,邓州市第二人民医院,邓州市第二人民医院,公立/综合医院,二级甲等
河南省,南阳市,邓州市,邓州市第一人民医院,邓州市第一人民医院,公立/综合医院,二级甲等
河南省,南阳市,邓州市,邓州市第三人民医院,邓州公费医疗医院,公立/综合医院,二级甲等
河南省,南阳市,邓州市,李医生颈腰椎门诊,李医生颈腰椎门诊,民营/综合医院,一级甲等
河南省,南阳市,邓州市,邓州仁爱医院,邓州妇科医院,其他/综合医院,未评级
