省,市,区,全名,别名,性质,等级
河南省,商丘市,梁园区,商丘馥樱医院,商丘市计划生育指导站,公立/综合医院,未知
河南省,商丘市,梁园区,商丘市按摩医院,商丘市按摩医院,公立/综合医院,未知
河南省,商丘市,梁园区,商丘市第二骨科医院,商丘市第二骨科医院,公立/专科医院,未知
河南省,商丘市,梁园区,商丘铝业职工医院,商丘市梁园区公安法医医院,公立/综合医院,未知
河南省,商丘市,梁园区,商丘市东风眼科医院,商丘市东风眼科医院,公立/专科医院,未知
河南省,商丘市,梁园区,商丘市第六人民医院,商丘市睢阳区公疗医院,公立/综合医院,未知
河南省,商丘市,梁园区,商丘铁路医院,商丘铁路医院,公立/综合医院,未知
河南省,商丘市,梁园区,商丘市眼科医院,商丘市眼科医院,公立/综合医院,未知
河南省,商丘市,梁园区,商丘师范学院附属医院,商丘师范学院附属医院,公立/综合医院,未知
河南省,商丘市,梁园区,商丘市第二人民医院,商丘地区精神病医院,公立/综合医院,未知
河南省,商丘市,梁园区,商丘市第三人民医院,商丘市第三人民医院,公立/综合医院,二级甲等
河南省,商丘市,梁园区,商丘市公疗医院,商丘市公疗医院,公立/综合医院,二级甲等
河南省,商丘市,梁园区,商丘市中医院,商丘市中医院,公立/综合医院,二级甲等
河南省,商丘市,梁园区,梁园区红十字会医院,商丘红会医院,民营/综合医院,未评级
河南省,商丘市,梁园区,商丘蓝天医院,商丘蓝天医院,民营/综合医院,未评级
河南省,商丘市,梁园区,商丘华美医疗美容医院,商丘华美整形美容医院,民营/专科医院,未知
河南省,商丘市,梁园区,商丘世鹏医院,世鹏医院,民营/综合医院,民营医院
河南省,商丘市,梁园区,商丘白云妇产医院,商丘白云妇产医院,民营/专科医院,未知
河南省,商丘市,梁园区,商丘妇科医院,商丘妇科医院,其他/综合医院,未评级
河南省,商丘市,梁园区,商丘市八八医院,商丘市八八医院,公立/综合医院,一级甲等
