省,市,区,全名,别名,性质,等级
河南省,商丘市,睢阳区,商丘市睢阳区妇幼保健院,商丘市睢阳区妇幼保健院,公立/妇幼保健医院,未知
河南省,商丘市,睢阳区,商丘市睢阳区中医院,商丘市睢阳区中医院,公立/综合医院,未知
河南省,商丘市,睢阳区,商丘市职工医院,商丘市职工医院,公立/综合医院,未知
河南省,商丘市,睢阳区,商丘市中医肿瘤医院,商丘市中医肿瘤医院,公立/专科医院,未知
河南省,商丘市,睢阳区,商丘市第五人民医院,商丘铁路医院,公立/综合医院,二级甲等
河南省,商丘市,睢阳区,商丘市第四人民医院,商丘市第四人民医院,公立/综合医院,未知
河南省,商丘市,睢阳区,商丘县公费医疗医院,商丘县公费医疗医院,公立/综合医院,未知
河南省,商丘市,睢阳区,商丘市妇幼保健院,商丘市妇幼保健院,公立/综合医院,二级甲等
河南省,商丘市,睢阳区,商丘县中医院,商丘县中医院,公立/综合医院,未知
河南省,商丘市,睢阳区,商丘县人民医院,商丘县人民医院,公立/综合医院,二级乙等
河南省,商丘市,睢阳区,商丘市第一人民医院,商丘市第一人民医院,公立/综合医院,二级甲等
河南省,商丘市,睢阳区,商丘市中心医院,商丘市中心医院,公立/综合医院,二级甲等
河南省,商丘市,睢阳区,商丘朝阳医院,商丘男科医院,其他/综合医院,未评级
