省,市,区,全名,别名,性质,等级
湖北省,武汉市,江岸区,武汉市江岸区红旗医院,武汉市江岸区红旗医院,公立/综合医院,未知
湖北省,武汉市,江岸区,武汉惠康医院,武汉惠康医院,民营/综合医院,未知
湖北省,武汉市,江岸区,武汉市江岸区红十字会医院,武汉市江岸区红十字会医院,公立/综合医院,未知
湖北省,武汉市,江岸区,武汉华中中西医结合医院,武汉华中中西医结合医院,公立/综合医院,未知
湖北省,武汉市,江岸区,武汉三九中原医院,武汉三九中原医院,民营/综合医院,未知
湖北省,武汉市,江岸区,武汉市江岸区联合医院,武汉市江岸区联合医院,公立/综合医院,未知
湖北省,武汉市,江岸区,武汉市江岸区二七医院,武汉市江岸区二七医院,公立/综合医院,未知
湖北省,武汉市,江岸区,武汉市江岸区先锋医院,武汉市江岸区先锋医院,公立/综合医院,未知
湖北省,武汉市,江岸区,武汉市江岸区妇幼保健所,武汉市江岸区妇幼保健所,公立/综合医院,未知
湖北省,武汉市,江岸区,武汉市江岸区谌家矶医院,武汉市江岸区谌家矶医院,公立/综合医院,未知
湖北省,武汉市,江岸区,武汉市江岸区劳动医院,武汉市江岸区劳动医院,公立/综合医院,一级乙等
湖北省,武汉市,江岸区,武汉市江岸区朝阳医院同济朝港医院,武汉市江岸区朝阳医院同济朝港医院,公立/综合医院,一级甲等
湖北省,武汉市,江岸区,华中航运集团有限公司武汉华泰医院,华中航运集团有限公司武汉华泰医院,公立/综合医院,二级乙等
湖北省,武汉市,江岸区,武汉长江航运总医院,武汉脑科医院、长江航运总医院,公立/综合医院,三级乙等
湖北省,武汉市,江岸区,武汉市第六医院,江汉大学附属医院,公立/综合医院,三级乙等
湖北省,武汉市,江岸区,武汉大学中山医院,湖北省中山医院，武汉军工总医院,公立/综合医院,三级甲等　　
湖北省,武汉市,江岸区,华中科技大学同济医学院附属同济医院,武汉同济医院,公立/综合医院,三级甲等　　
湖北省,武汉市,江岸区,武汉市中医医院,武汉市中医医院,公立/综合医院,三级甲等　　
湖北省,武汉市,江岸区,武汉市传染病医院,武汉市肝病医院、梅神父医院,公立/专科医院,三级甲等　　
湖北省,武汉市,江岸区,武汉协和医院,华中科技大学同济医学院附属协和医院,公立/综合医院,三级甲等　　
湖北省,武汉市,江岸区,湖北省新华医院中山分院,湖北省新华医院中山分院,公立/综合医院,三级甲等　　
湖北省,武汉市,江岸区,武汉市中心医院,武汉市第二医院,外资/综合医院,三级甲等　　
湖北省,武汉市,江岸区,中国人民解放军第457医院,空军汉口医院，中国人民解放军第四五七医院,公立/综合医院,三级甲等　　
湖北省,武汉市,江岸区,武汉市江岸区博爱医院, 武汉市江岸区博爱医院,公立/综合医院,未知
湖北省,武汉市,江岸区,武汉脑科医院,长江航运总医院,公立/综合医院,三级乙等
湖北省,武汉市,江岸区,武汉国中堂中西医结合医院,武汉雄楚中西医结合医院,民营/专科医院,未评级
湖北省,武汉市,江岸区,武汉市江岸中爱医疗美容门诊部,武汉中爱整形医院,民营/专科医院,民营医院
湖北省,武汉市,江岸区,武汉一方堂研究所,武汉和谐中西结合医院,民营/综合医院,民营医院
湖北省,武汉市,江岸区,武汉国医世纪胃肠研究院,武汉胃肠医院,民营/综合医院,民营医院
湖北省,武汉市,江岸区,武汉黄浦中西医结合医院,武汉黄浦医院,民营/综合医院,未知
湖北省,武汉市,江岸区,武汉爱尚整形医疗美容门诊部,武汉爱尚整形美容医院,其他/门诊,民营医院
湖北省,武汉市,江岸区,武汉现代泌尿外科医院,武汉现代泌尿男科医院,民营/专科医院,未知
湖北省,武汉市,江岸区,武汉美基元医疗美容门诊部,美基元整形,民营/门诊,民营医院
湖北省,武汉市,江岸区,武汉161医院,武汉161医院_武汉整形医院,公立/综合医院,三级甲等　　
湖北省,武汉市,江岸区,武汉康音白癜风研究院,武汉康音中医门诊部,民营/专科医院,未评级
湖北省,武汉市,江岸区,武汉虎泉医院,武汉虎泉精神科医院,民营/综合医院,民营医院
湖北省,武汉市,江岸区,武汉市儿童医院,武汉市妇幼保健院、武汉市妇女儿童医疗保健中心,公立/综合医院,三级甲等　　
湖北省,武汉市,江岸区,武汉武南戒毒医院,武汉武南戒毒医院,民营/专科医院,未评级
湖北省,武汉市,江岸区,武汉百佳妇产医院,武汉百佳医院,民营/专科医院,三级乙等
湖北省,武汉市,江岸区,武汉同济生殖医学专科医院,华中科技大学同济医学院生殖医学中心,公立/综合医院,一级甲等
湖北省,武汉市,江岸区,武汉市普仁医院江岸医院,中国南车集团江岸车辆厂职工医院,公立/综合医院,二级甲等
湖北省,武汉市,江岸区,武汉佑康医院,武汉佑康医院,民营/综合医院,未评级
湖北省,武汉市,江岸区,武汉京军医院,武汉京军肝病研究院,其他/专科医院,未评级
湖北省,武汉市,江岸区,武汉绎君医疗美容门诊部,武汉绎君整形美容医院,民营/专科医院,未知
湖北省,武汉市,江岸区,武汉新特中医医院,武汉新特中医院,民营/综合医院,二级甲等
湖北省,武汉市,江岸区,武汉琴断口戒毒医院,武汉琴断口戒毒所,民营/综合医院,未评级
湖北省,武汉市,江岸区,武汉首佳耳鼻喉医院,武汉耳鼻喉医院,民营/专科医院,未知
湖北省,武汉市,江岸区,武汉弘济骨科医院,武汉弘济骨科医院,合资/专科医院,未知
湖北省,武汉市,江岸区,武汉中盛植发医院,武汉中盛植发医院,其他/综合医院,未评级
湖北省,武汉市,江岸区,武汉现十代男科医院,武汉男科医院,民营/专科医院,民营医院
