省,市,区,全名,别名,性质,等级
湖北省,黄石市,大冶市,武钢金山店铁矿职工医院,武钢金山店铁矿职工医院,公立/综合医院,一级甲等
湖北省,黄石市,大冶市,大冶有色公司铜禄山矿医院,大冶有色公司铜禄山矿医院,公立/综合医院,未知
湖北省,黄石市,大冶市,大冶有色金属公司职工医院,大冶有色金属公司职工医院,公立/综合医院,未知
湖北省,黄石市,大冶市,大冶市第三人民医院,大冶市第三人民医院,公立/综合医院,未知
湖北省,黄石市,大冶市,大冶有色金属公司铜禄山矿医院,大冶有色金属公司铜禄山矿医院,公立/综合医院,未知
湖北省,黄石市,大冶市,大冶市基督教普爱医院,大冶市基督教普爱医院,公立/综合医院,未知
湖北省,黄石市,大冶市,大冶有色金属公司丰山铜矿医院,大冶有色金属公司丰山铜矿医院,公立/综合医院,未知
湖北省,黄石市,大冶市,大冶市妇幼保健所,大冶市妇幼保健所,公立/综合医院,未知
湖北省,黄石市,大冶市,大冶市第二人民医院,大冶市第二人民医院,公立/综合医院,未知
湖北省,黄石市,大冶市,大冶市人民医院,大冶市人民医院,公立/综合医院,二级甲等
湖北省,黄石市,大冶市,大冶市中医医院,大冶市中医医院,公立/综合医院,二级甲等
湖北省,黄石市,大冶市,大冶铁矿职工医院,大冶铁矿职工医院,公立/综合医院,二级甲等
湖北省,黄石市,大冶市,大冶有色金属公司总医院,大冶有色金属公司总医院,公立/综合医院,二级甲等
