省,市,区,全名,别名,性质,等级
湖北省,襄樊市,襄城区,中航襄樊第六Ｏ九研究所职工医院,中航襄樊第六Ｏ九研究所职工医院,公立/综合医院,一级甲等
湖北省,襄樊市,襄城区,航空工业襄樊医院宏伟分院,航空工业襄樊医院宏伟分院,公立/综合医院,一级甲等
湖北省,襄樊市,襄城区,东风襄樊医院,东风襄樊医院,公立/综合医院,一级甲等
湖北省,襄樊市,襄城区,襄阳鼓楼医院,襄阳鼓楼医院,民营/综合医院,二级甲等
湖北省,襄樊市,襄城区,湖北化学纤维厂职工医院,湖北化学纤维厂职工医院,公立/综合医院,未知
湖北省,襄樊市,襄城区,襄樊市博爱医院,襄樊市博爱医院,公立/综合医院,一级甲等
湖北省,襄樊市,襄城区,东风汽车公司襄樊医院,东风汽车公司襄樊医院,公立/综合医院,二级甲等
湖北省,襄樊市,襄城区,襄樊市第四人民医院,襄樊市第四人民医院,公立/综合医院,二级甲等
湖北省,襄樊市,襄城区,襄樊市妇幼保健院,襄樊市妇幼保健院,公立/综合医院,二级甲等
湖北省,襄樊市,襄城区,襄樊市中心医院,襄阳市中心医院,公立/综合医院,三级甲等　　
湖北省,襄樊市,襄城区,中国化学工程总公司第六建筑公司医院,中国化学工程总公司第六建筑公司医院,公立/综合医院,一级甲等
湖北省,襄樊市,襄城区,中国人民解放军空军襄樊医院,中国人民解放军空军襄樊医院,公立/综合医院,一级甲等
湖北省,襄樊市,襄城区,襄樊市军工医院,襄樊市肿瘤医院,公立/综合医院,二级甲等
湖北省,襄樊市,襄城区,中铁第十一工程局中心医院,中铁第十一工程局中心医院,公立/综合医院,一级甲等
湖北省,襄樊市,襄城区,中国人民解放军四七七医院,中国人民解放军四七七医院,公立/综合医院,一级甲等
湖北省,襄樊市,襄城区,国营汉丹电器厂职工医院,国营汉丹电器厂职工医院,公立/综合医院,一级甲等
湖北省,襄樊市,襄城区,铁四局一处襄樊医院,铁四局一处襄樊医院,公立/综合医院,一级甲等
湖北省,襄樊市,襄城区,襄州区人民医院,襄州区人民医院,公立/综合医院,一级甲等
湖北省,襄樊市,襄城区,襄阳市第四人民医院,襄樊四医院,民营/综合医院,二级甲等
湖北省,襄樊市,襄城区,襄城区韩蔻医疗美容门诊部,韩蔻美莱,民营/专科医院,民营医院
湖北省,襄樊市,襄城区,湘潭新时代医院,湘潭新时代妇科医院,民营/综合医院,民营医院
