省,市,区,全名,别名,性质,等级
湖北省,襄樊市,宜城市,襄南监狱医院,襄南监狱医院,公立/综合医院,一级甲等
湖北省,襄樊市,宜城市,宜城市孔湾普济医院,宜城市孔湾普济医院,民营/综合医院,未知
湖北省,襄樊市,宜城市,宜城市雷河明学医院,宜城市雷河明学医院,民营/综合医院,未知
湖北省,襄樊市,宜城市,宜城市盛康医院,宜城市盛康医院,民营/综合医院,未知
湖北省,襄樊市,宜城市,宜城市金波济仁医院,宜城市金波济仁医院,公立/综合医院,未知
湖北省,襄樊市,宜城市,宜城市王集杨德医院,宜城市王集杨德医院,民营/综合医院,未知
湖北省,襄樊市,宜城市,宜城市先天医院,宜城市先天医院,民营/综合医院,未知
湖北省,襄樊市,宜城市,宜城市李当博爱医院,宜城市李当博爱医院,民营/综合医院,未知
湖北省,襄樊市,宜城市,宜城市馨瑞医院,宜城市馨瑞医院,公立/综合医院,未知
湖北省,襄樊市,宜城市,宜城市玛丽龙头医院,宜城市玛丽龙头医院,民营/综合医院,未知
湖北省,襄樊市,宜城市,宜城市楚皇城医院,宜城市楚皇城医院,民营/综合医院,未知
湖北省,襄樊市,宜城市,宜城市妇幼保健院,宜城市妇幼保健院,公立/综合医院,一级甲等
湖北省,襄樊市,宜城市,宜城市中医院,宜城市中医院,公立/综合医院,二级甲等
湖北省,襄樊市,宜城市,宜城市人民医院,宜城市人民医院,公立/综合医院,二级甲等
