省,市,区,全名,别名,性质,等级
湖北省,十堰市,丹江口市,江口县民族中医院,江口县民族中医院,公立/综合医院,未知
湖北省,十堰市,丹江口市,湖北省武当山医院,湖北省武当山医院,公立/综合医院,二级乙等
湖北省,十堰市,丹江口市,江口县人民医院,江口县人民医院,公立/综合医院,二级甲等
湖北省,十堰市,丹江口市,丹江工程局职工医院,丹江工程局职工医院,公立/综合医院,二级甲等
湖北省,十堰市,丹江口市,丹江口卫校附属医院,丹江口卫校附属医院,公立/综合医院,二级甲等
湖北省,十堰市,丹江口市,丹江口市妇幼保健院,丹江口市妇幼保健院,公立/综合医院,二级甲等
湖北省,十堰市,丹江口市,丹江口市中医院,丹江口市中医院,公立/综合医院,二级甲等
湖北省,十堰市,丹江口市,丹江口市第二医院,丹江口市第二医院,公立/综合医院,二级甲等
湖北省,十堰市,丹江口市,丹江口市第一医院,丹江口市第一医院,公立/综合医院,二级甲等
湖北省,十堰市,丹江口市,十堰市中医院,十堰市中医院,公立/综合医院,三级甲等　　
湖北省,十堰市,丹江口市,中国人民解放军总后九七医院,中国人民解放军总后九七医院,公立/综合医院,一级甲等
湖北省,十堰市,丹江口市,汉江集团汉江医院,汉江集团汉江医院,公立/综合医院,一级甲等
