省,市,区,全名,别名,性质,等级
湖北省,荆门市,东宝区,荆门九龙医院,荆门九龙男科医院,民营/综合医院,未评级
湖北省,荆门市,东宝区,荆门丽人妇科医院,丽人妇科医院,民营/专科医院,民营医院
湖北省,荆门市,东宝区,荆门慈济医院,荆门慈济男科医院,其他/综合医院,未知
湖北省,荆门市,东宝区,荆门仁爱医院,荆门仁爱医院,民营/综合医院,未知
湖北省,荆门市,东宝区,宝源集团职工医院,宝源集团职工医院,公立/综合医院,一级甲等
湖北省,荆门市,东宝区,中国航空工业总公司宏图飞机制造厂职工医院,中国航空工业总公司宏图飞机制造厂职工医院,公立/综合医院,一级甲等
湖北省,荆门市,东宝区,葛洲坝集团有限公司水泥厂医院,葛洲坝集团有限公司水泥厂医院,公立/综合医院,一级甲等
湖北省,荆门市,东宝区,中国航空工业第六Ｏ五研究所职工医院,中国航空工业第六Ｏ五研究所职工医院,公立/综合医院,一级甲等
湖北省,荆门市,东宝区,荆门市石化医院,荆门市石化医院,公立/综合医院,二级甲等
湖北省,荆门市,东宝区,荆门市妇幼保健院,湖北省荆门市妇女儿童医院,公立/综合医院,二级甲等
湖北省,荆门市,东宝区,荆门市中医院,荆门市中医院,公立/综合医院,二级甲等
湖北省,荆门市,东宝区,荆门市第三人民医院,荆门市卫校附属口腔医院,公立/综合医院,二级甲等
湖北省,荆门市,东宝区,荆门市第二人民医院,荆门二医,公立/综合医院,二级甲等
湖北省,荆门市,东宝区,荆门市第一人民医院,荆门市第一人民医院,公立/综合医院,三级甲等　　
湖北省,荆门市,东宝区,荆门市口腔医院,荆门市口腔医院,公立/综合医院,一级甲等
