省,市,区,全名,别名,性质,等级
湖北省,鄂州市,鄂城区,鄂州市疾病预防控制中心,鄂州市疾病预防控制中心,公立/综合医院,一级甲等
湖北省,鄂州市,鄂城区,鄂城钢铁厂职工医院,鄂城钢铁厂职工医院,公立/综合医院,未知
湖北省,鄂州市,鄂城区,湖北中医血管瘤专科医院,鄂州中医血管瘤专科医院,民营/专科医院,未知
湖北省,鄂州市,鄂城区,鄂州二医院,鄂州市第二医院,公立/综合医院,二级甲等
湖北省,鄂州市,鄂城区,鄂州康复中心,鄂州市莲花山医院,公立/综合医院,二级甲等
湖北省,鄂州市,鄂城区,鄂州市妇幼保健院,鄂州市妇幼保健院,公立/综合医院,二级甲等
湖北省,鄂州市,鄂城区,鄂州市第三医院自愿戒毒所,鄂州市第三医院自愿戒毒所,公立/综合医院,二级甲等
湖北省,鄂州市,鄂城区,鄂州市中医院,鄂州市中医院,公立/综合医院,三级甲等　　
湖北省,鄂州市,鄂城区,鄂州市中心医院,鄂州市中心医院,公立/综合医院,三级甲等　　
湖北省,鄂州市,鄂城区,武钢集团公司程潮铁矿职工医院,武钢集团公司程潮铁矿职工医院,公立/综合医院,二级甲等
湖北省,鄂州市,鄂城区,湖北鄂州中医血管瘤专科医院,湖北血管瘤专科医院,民营/专科医院,未知
