省,市,区,全名,别名,性质,等级
湖北省,恩施州,恩施市,湖北民院附属医院,湖北民院附属医院,公立/综合医院,未知
湖北省,恩施州,恩施市,恩施州医专附属医院,恩施州医专附属医院,公立/综合医院,未知
湖北省,恩施州,恩施市,恩施州精神病医院,恩施州精神病医院,公立/综合医院,未知
湖北省,恩施州,恩施市,恩施州传染病院,恩施州传染病院,公立/综合医院,未知
湖北省,恩施州,恩施市,恩施州妇幼保健医院,恩施州妇幼保健医院,公立/综合医院,未知
湖北省,恩施州,恩施市,恩施州中医院恩施州民族医院,恩施州中医院恩施州民族医院,公立/综合医院,二级甲等
湖北省,恩施州,恩施市,恩施州人民医院,恩施州人民医院,公立/综合医院,二级甲等
湖北省,恩施州,恩施市,恩施州中心医院,恩施州中心医院,公立/综合医院,三级甲等　　
湖北省,恩施州,恩施市,恩施州中心医院（西医部）,恩施州中心医院（西医部）,公立/综合医院,三级甲等　　
湖北省,恩施州,恩施市,恩施州中心医院(中医部),恩施州中心医院(中医部),公立/综合医院,三级甲等　　
湖北省,恩施州,恩施市,恩施市咿呀牙科诊所,恩施咿呀口腔,其他/专科医院,未评级
