省,市,区,全名,别名,性质,等级
湖南省,长沙市,岳麓区,长沙华山白癜风医院,湖南白癜风医院_长沙白癜风医院,其他/专科医院,未知
湖南省,长沙市,岳麓区,长沙中山医院,长沙癫痫病医院,公立/综合医院,未知
湖南省,长沙市,岳麓区,武警湖南省消防总队医院,湖南消防总队医院,公立/综合医院,二级甲等
湖南省,长沙市,岳麓区,长沙程裕医院,长沙程裕妇产医院,合资/综合医院,未评级
湖南省,长沙市,岳麓区,航天722医院,航天722医院,公立/综合医院,一级甲等
湖南省,长沙市,岳麓区,长沙玛丽亚妇产医院,长沙玛丽亚妇产医院,民营/专科医院,未知
湖南省,长沙市,岳麓区,长沙胡亚美儿科医学研究院,长沙胡亚美儿科医学研究院,合资/其他,未评级
湖南省,长沙市,岳麓区,长沙珂信肿瘤医院,珂信医院,民营/专科医院,未知
湖南省,长沙市,岳麓区,长沙楚雅医院多动症诊疗中心,长沙楚雅医院多动症诊疗中心,公立/综合医院,三级甲等　　
湖南省,长沙市,岳麓区,长沙东华生殖与不孕医院,长沙东华妇产医院,民营/综合医院,二级甲等
湖南省,长沙市,岳麓区,长沙市第三医院,长沙市第三医院,公立/综合医院,三级乙等
湖南省,长沙市,岳麓区,中南大学附属湘雅二医院,中南大学附属湘雅二医院,公立/综合医院,三级甲等　　
湖南省,长沙市,岳麓区,湖南省中医院,湖南中医药大学第二附属医院,公立/综合医院,三级甲等　　
湖南省,长沙市,岳麓区,长沙长江医院,长沙长江生殖与不孕医院,民营/综合医院,未知
湖南省,长沙市,岳麓区,长沙市望城人民医院,长沙市望城人民医院,公立/综合医院,二级甲等
湖南省,长沙市,岳麓区,湖南省肿瘤医院,湖湘中医肿瘤医院,公立/专科医院,二级甲等
湖南省,长沙市,岳麓区,湖南省中医研究院附属医院,湖南省中医研究院附属医院,公立/综合医院,三级甲等　　
湖南省,长沙市,岳麓区,长沙市第四医院,长沙市第四医院,公立/综合医院,三级医院
湖南省,长沙市,岳麓区,长沙艾丽斯妇产医院,长沙艾丽斯医院,民营/专科医院,未知
湖南省,长沙市,岳麓区,长沙市岳麓区利尔口腔门诊部,利尔.长沙口腔医院,民营/门诊,未评级
湖南省,长沙市,岳麓区,长沙汇兴医院,长沙汇兴医院,民营/综合医院,民营医院
湖南省,长沙市,岳麓区,湖湘中医肿瘤医院（民营）,湖湘中医肿瘤医院,其他/综合医院,未知
湖南省,长沙市,岳麓区,湖湘中医肿瘤医院,原湖南中医肿瘤医院,公立/综合医院,二级甲等
湖南省,长沙市,岳麓区,武警湖南总队医院肝病治疗中心,武警湖南总队医院,公立/综合医院,三级乙等
