省,市,区,全名,别名,性质,等级
湖南省,长沙市,芙蓉区,长沙中研白癜风医院,长沙白癜风医院_长沙白癜风专科医院,其他/专科医院,未知
湖南省,长沙市,芙蓉区,长沙白癜风医院,湖南长沙中研白癜风医院_长沙最好的白癜风医院_长沙白癜风医院地址_联系方式_怎么样,其他/专科医院,未知
湖南省,长沙市,芙蓉区,湖南省军区医院,湖南省军区机关医院,公立/综合医院,三级甲等　　
湖南省,长沙市,芙蓉区,湖南军区机关医院,湖南省男科疾病诊疗中心,公立/综合医院,二级甲等
湖南省,长沙市,芙蓉区,长沙长海医院,长沙长海医院,个体户/专科医院,未知
湖南省,长沙市,芙蓉区,长沙泰和医院,长沙泰和湘雅医院,其他/综合医院,未知
湖南省,长沙市,芙蓉区,湖南省儿童医院,湖南省儿童医院,公立/综合医院,三级甲等　　
湖南省,长沙市,芙蓉区,长沙五洲医院,长沙五洲男科医院,民营/专科医院,二级甲等
湖南省,长沙市,芙蓉区,长沙楚雅医院,长沙楚雅医院,公立/综合医院,一级甲等
湖南省,长沙市,芙蓉区,中国建筑第五工程局中心医院,中国建筑第五工程局中心医院,公立/综合医院,一级甲等
湖南省,长沙市,芙蓉区,湖南省马王堆医院,湖南省马王堆疗养院/湖南省老年医院/马王堆医院,公立/综合医院,三级甲等　　
湖南省,长沙市,芙蓉区,芙蓉煤矿职工医院,芙蓉煤矿职工医院,公立/综合医院,未知
湖南省,长沙市,芙蓉区,芙蓉矿务局职工总医院,芙蓉矿务局职工总医院,公立/综合医院,未知
湖南省,长沙市,芙蓉区,中南大学附属湘雅三医院,中南大学附属湘雅三医院,公立/综合医院,三级甲等　　
湖南省,长沙市,芙蓉区,湖南省第二人民医院,湖南省脑科医院,公立/综合医院,三级甲等　　
湖南省,长沙市,芙蓉区,长沙市芙蓉区红十字会医院,长沙市芙蓉区红十字会医院,公立/综合医院,二级乙等
湖南省,长沙市,芙蓉区,长沙市芙蓉区平价医院,芙蓉区医院,公立/综合医院,二级甲等
湖南省,长沙市,芙蓉区,湖南省交通医院,湖南省交通医院,公立/综合医院,二级甲等
湖南省,长沙市,芙蓉区,湖南省老年医院,湖南省马王堆疗养院,公立/综合医院,三级甲等　　
湖南省,长沙市,芙蓉区,长沙市第七医院,长沙铁路医院,公立/综合医院,三级甲等　　
湖南省,长沙市,芙蓉区,湖南省人民医院,湖南省人民医院,公立/综合医院,三级甲等　　
湖南省,长沙市,芙蓉区,长沙东协盛医院,长沙东协盛医院,民营/综合医院,未知
湖南省,长沙市,芙蓉区,长沙鸿业皮肤病专科医院,长沙鸿业皮肤病专科医院,个体户/专科医院,未知
