省,市,区,全名,别名,性质,等级
湖南省,长沙市,天心区,长沙中医院,长沙中医院,公立/综合医院,一级甲等
湖南省,长沙市,天心区,长沙尚美妇科医院,长沙尚美妇科医院,个体户/妇幼保健医院,未知
湖南省,长沙市,天心区,长沙现代女子医院,长沙现代女子医院,民营/综合医院,未知
湖南省,长沙市,天心区,湖南省药物依赖治疗中心湖南省精神卫生研究所,湖南省药物依赖治疗中心湖南省精神卫生研究所,公立/综合医院,三级甲等　　
湖南省,长沙市,天心区,长沙市中医医院,长沙市中医医院,公立/综合医院,二级甲等
湖南省,长沙市,天心区,湖南省财贸医院,湖南省财贸医院,公立/综合医院,二级甲等
湖南省,长沙市,天心区,长沙市中医院,长沙市中医院,公立/综合医院,二级甲等
湖南省,长沙市,天心区,长沙市天心区固德口腔门诊部,长沙固德口腔,民营/专科医院,民营医院
湖南省,长沙市,天心区,长沙市天心区真爱医疗美容门诊部,长沙真爱医院,民营/门诊,民营医院
湖南省,长沙市,天心区,长沙市天心区韩氏美容护肤中心,长沙市天心区韩氏美容护肤中心,民营/综合医院,未知
湖南省,长沙市,天心区,湖南博雅眼科医院,湖南博雅眼科医院,个体户/眼科医院,未知
湖南省,长沙市,天心区,长沙南湖医院,湖南长沙治疗癫痫病专科医院,其他/综合医院,未知
湖南省,长沙市,天心区,天心区脸秀医疗美容门诊部,脸秀医疗美容中心,民营/门诊,未评级
