省,市,区,全名,别名,性质,等级
湖南省,长沙市,雨花区,长沙中科白癜风医院,长沙白癜风医院_长沙最好的白癜风医院_长沙白癜风医院哪家好,其他/专科医院,未知
湖南省,长沙市,雨花区,长沙丽人医院,长沙丽人医院,民营/专科医院,未知
湖南省,长沙市,雨花区,湖南中医学院附属第一医院,湖南中医学院附属第一医院,公立/综合医院,三级甲等　　
湖南省,长沙市,雨花区,长沙市中心医院,长沙市中心医院,公立/综合医院,三级甲等　　
湖南省,长沙市,雨花区,长沙市妇幼保健院,长沙市妇幼保健院,公立/专科医院,二级甲等
湖南省,长沙市,雨花区,长沙市按摩医院,长沙市按摩骨科医院,公立/综合医院,二级甲等
湖南省,长沙市,雨花区,湖南中医药大学第一附属医院,湖南省中医附一医院,公立/综合医院,三级甲等　　
湖南省,长沙市,雨花区,长沙年轮骨科医院,长沙恒生手外科医院,民营/专科医院,民营医院
湖南省,长沙市,雨花区,长沙九龙医院,长沙九龙耳鼻喉医院,民营/综合医院,未知
湖南省,长沙市,雨花区,中国水电中南勘测设计研究院职工医院,中国水电中南勘测设计研究院职工医院,公立/综合医院,一级甲等
湖南省,长沙市,雨花区,长沙普济肾病医院,普济医院,民营/专科医院,未知
湖南省,长沙市,雨花区,长沙仁和医院,长沙仁和医院,公立/综合医院,二级乙等
湖南省,长沙市,雨花区,长沙南仁医院,南仁医院,其他/专科医院,未知
湖南省,长沙市,雨花区,长沙中南白癜风医院,长沙治疗白癜风医院、湖南白癜风专科医院,民营/专科医院,民营医院
