省,市,区,全名,别名,性质,等级
湖南省,长沙市,长沙县,长沙县精神病医院,长沙县精神病医院,公立/综合医院,一级甲等
湖南省,长沙市,长沙县,长沙铁路总公司株洲医院,长沙铁路总公司株洲医院,公立/综合医院,二级甲等
湖南省,长沙市,长沙县,长沙市西区人民医院,长沙市西区人民医院,公立/综合医院,未知
湖南省,长沙市,长沙县,中国水利水电第八局中心医院,中国水利水电第八局中心医院,公立/综合医院,一级甲等
湖南省,长沙市,长沙县,湖南省水电职工医院,湖南省水电职工医院,公立/综合医院,未知
湖南省,长沙市,长沙县,长沙县第一人民医院,长沙县第一人民医院,公立/综合医院,二级甲等
湖南省,长沙市,长沙县,中国人民武警部队湖南省总队医院,湖南消防总队医院,公立/综合医院,三级乙等
湖南省,长沙市,长沙县,长沙老年病医院,长沙老年病医院,公立/综合医院,未知
湖南省,长沙市,长沙县,长沙铁路医院,长沙铁路医院,公立/综合医院,二级甲等
湖南省,长沙市,长沙县,长沙市仁济医院（民营）,长沙市仁济医院,个体户/综合医院,未知
湖南省,长沙市,长沙县,长沙市中心医院（原长沙市第五医院）,长沙市中心医院（原长沙市第五医院）,公立/综合医院,未知
湖南省,长沙市,长沙县,长沙市郊区中医院,长沙市郊区中医院,公立/中医医院,未知
湖南省,长沙市,长沙县,长沙天伦医院,星沙天伦医院,其他/其他,未评级
