省,市,区,全名,别名,性质,等级
湖南省,株洲市,荷塘区,株洲阳光泌尿专科医院,株洲阳光泌尿专科医院,合资/专科医院,民营医院
湖南省,株洲市,荷塘区,株洲强生肛肠医院,株洲强生医院,民营/专科医院,未知
湖南省,株洲市,荷塘区,株洲市人民医院,株洲市人民医院,公立/综合医院,二级甲等
湖南省,株洲市,荷塘区,株洲不孕不育仁和医院,株洲不孕不育仁和医院,公立/综合医院,二级甲等
湖南省,株洲市,荷塘区,株洲六零一医院,株洲六零一医院,公立/综合医院,二级甲等
湖南省,株洲市,荷塘区,株洲铁路医院,株洲铁路医院,公立/综合医院,二级甲等
湖南省,株洲市,荷塘区,株洲四三零医院,株洲四三零医院,公立/综合医院,二级甲等
湖南省,株洲市,荷塘区,株洲市结核病医院,株州市荷塘区人民医院,公立/综合医院,二级甲等
湖南省,株洲市,荷塘区,株洲县第二人民医院,株洲县第二人民医院,公立/综合医院,二级甲等
湖南省,株洲市,荷塘区,湖南恺德微创医院,湖南恺德微创医院,公立/综合医院,二级甲等
湖南省,株洲市,荷塘区,株洲六Ｏ一医院,株洲六Ｏ一医院,公立/综合医院,二级甲等
湖南省,株洲市,荷塘区,株洲博大生殖医院,株洲博大生殖医院,个体户/综合医院,一级甲等
湖南省,株洲市,荷塘区,株洲安贞妇科医院,株洲安贞医院,公立/综合医院,一级甲等
