省,市,区,全名,别名,性质,等级
湖南省,株洲市,醴陵市,醴陵市第三人民医院,醴陵市第三人民医院,公立/综合医院,未知
湖南省,株洲市,醴陵市,醴陵兆和医院,醴陵兆和医院,民营/综合医院,未知
湖南省,株洲市,醴陵市,醴陵市第四人民医院,醴陵市第四人民医院,公立/综合医院,未知
湖南省,株洲市,醴陵市,醴陵市第二人民医院,醴陵市第二人民医院,公立/综合医院,未知
湖南省,株洲市,醴陵市,醴陵市四医院,醴陵市四医院,公立/综合医院,未知
湖南省,株洲市,醴陵市,醴陵市二医院,醴陵市二医院,公立/综合医院,未知
湖南省,株洲市,醴陵市,醴陵市国光瓷业集团有限公司职工医院,醴陵市国光瓷业集团有限公司职工医院,公立/综合医院,未知
湖南省,株洲市,醴陵市,醴陵市渌江精神病医院,醴陵市渌江精神病医院,公立/综合医院,未知
湖南省,株洲市,醴陵市,醴陵市中医院,醴陵市中医院,公立/综合医院,二级甲等
湖南省,株洲市,醴陵市,醴陵市人民医院湖南医专附属湘东医院,醴陵市人民医院湖南医专附属湘东医院,公立/综合医院,二级甲等
湖南省,株洲市,醴陵市,湖南师范大学附属湘东医院,湖南师范大学附属湘东医院,公立/综合医院,二级甲等
湖南省,株洲市,醴陵市,醴陵市妇幼保健院醴陵市儿童医院,醴陵市妇幼保健院醴陵市儿童医院,公立/综合医院,二级甲等
湖南省,株洲市,醴陵市,醴陵市妇幼保健院,醴陵市妇幼保健院,公立/妇幼保健医院,未知
