省,市,区,全名,别名,性质,等级
湖南省,湘潭市,岳塘区,湘潭钢铁集团有限公司职工医院,湘潭钢铁集团有限公司职工医院,公立/综合医院,二级甲等
湖南省,湘潭市,岳塘区,湘潭市第一人民医院,湘潭市肿瘤医院,公立/综合医院,三级甲等　　
湖南省,湘潭市,岳塘区,湘潭市口腔医院,湘潭市口腔医院,公立/专科医院,二级甲等
湖南省,湘潭市,岳塘区,湘潭市三院,湘潭市三院,公立/综合医院,二级甲等
湖南省,湘潭市,岳塘区,湘潭市第四人民医院,湘潭市妇幼保健院,公立/综合医院,二级甲等
湖南省,湘潭市,岳塘区,湘潭市第三人民医院,湘潭市第三人民医院,公立/综合医院,二级甲等
湖南省,湘潭市,岳塘区,湘潭市中心医院,湘潭大学第一附属医院,公立/综合医院,三级甲等　　
湖南省,湘潭市,岳塘区,湘潭市四院湘潭市妇幼保健院,湘潭市妇幼保健院,公立/综合医院,二级甲等
湖南省,湘潭市,岳塘区,湘纺医院,湘纺医院,公立/综合医院,一级甲等
湖南省,湘潭市,岳塘区,湘潭市四院,湘潭市四院,公立/综合医院,未知
湖南省,湘潭市,岳塘区,湘潭市岳塘区人民医院,湘潭市岳塘区人民医院,公立/综合医院,未知
湖南省,湘潭市,岳塘区,湘潭龙华医院,湘潭龙华男科研究院,民营/专科医院,未知
