省,市,区,全名,别名,性质,等级
湖南省,湘潭市,湘乡市,中国有色三建一公司职工医院,中国有色三建一公司职工医院,公立/综合医院,一级甲等
湖南省,湘潭市,湘乡市,湖南省湘乡市月山中心卫生院,湖南省湘乡市月山中心卫生院,公立/综合医院,一级甲等
湖南省,湘潭市,湘乡市,湘潭县现代医院,湘潭现代医院,民营/综合医院,民营医院
湖南省,湘潭市,湘乡市,湖南湘铝有限责任公司职工医院,湖南湘铝有限责任公司职工医院,公立/综合医院,未知
湖南省,湘潭市,湘乡市,湘乡市康宁医院,湘乡市康宁医院,公立/综合医院,未知
湖南省,湘潭市,湘乡市,湘乡市第四人民医院,湘乡市第四人民医院,公立/综合医院,未知
湖南省,湘潭市,湘乡市,湘乡市第三人民医院,湘乡市第三人民医院,公立/综合医院,未知
湖南省,湘潭市,湘乡市,湖南铁合金厂职工医院,湖南铁合金厂职工医院,公立/综合医院,未知
湖南省,湘潭市,湘乡市,湘乡市妇幼保健所,湘乡市妇幼保健所,公立/综合医院,未知
湖南省,湘潭市,湘乡市,湘乡市中医院,湘乡市中医院,公立/综合医院,二级甲等
湖南省,湘潭市,湘乡市,湘乡市第二人民医院,湘乡市第二人民医院,公立/综合医院,二级甲等
湖南省,湘潭市,湘乡市,湘乡市人民医院湘乡市红十字医院,湘乡市人民医院湘乡市红十字医院,公立/综合医院,二级甲等
