省,市,区,全名,别名,性质,等级
湖南省,衡阳市,衡南县,衡南县第二人医院,衡南县第二人医院,公立/综合医院,一级甲等
湖南省,衡阳市,衡南县,水口山矿务局职工医院,水口山矿务局职工医院,公立/综合医院,一级甲等
湖南省,衡阳市,衡南县,衡南市三圹医院,衡南市三圹医院,公立/综合医院,未知
湖南省,衡阳市,衡南县,衡南市红十字会医院,衡南市红十字会医院,公立/综合医院,未知
湖南省,衡阳市,衡南县,衡南县三圹医院,衡南县三圹医院,公立/综合医院,未知
湖南省,衡阳市,衡南县,衡南县红十字会医院,衡南县红十字会医院,公立/综合医院,未知
湖南省,衡阳市,衡南县,衡南县中医院,衡南县中医院,公立/综合医院,二级甲等
湖南省,衡阳市,衡南县,衡南县人民医院,衡南县人民医院,公立/综合医院,二级甲等
湖南省,衡阳市,衡南县,衡南市中医院,衡南市中医院,公立/综合医院,二级甲等
湖南省,衡阳市,衡南县,衡南市人民医院,衡南市人民医院,公立/综合医院,二级甲等
湖南省,衡阳市,衡南县,衡阳市滨江医院衡阳市肝胆专科医院,衡阳市滨江医院衡阳市肝胆专科医院,公立/综合医院,二级甲等
湖南省,衡阳市,衡南县,衡南县第三人民医院,衡南县第三人民医院,公立/综合医院,二级甲等
湖南省,衡阳市,衡南县,衡南县职工医院,衡南县职工医院,公立/综合医院,未知
