省,市,区,全名,别名,性质,等级
湖南省,邵阳市,武冈市,武冈市精神病医院,武冈市商业职工医院,公立/综合医院,一级甲等
湖南省,邵阳市,武冈市,武岗市中医院,武岗市中医院,公立/综合医院,一级甲等
湖南省,邵阳市,武冈市,武岗市人民医院,武岗市人民医院,公立/综合医院,一级甲等
湖南省,邵阳市,武冈市,武冈市轻纺工业局职工医院,武冈市轻纺工业局职工医院,公立/综合医院,未知
湖南省,邵阳市,武冈市,武冈市商业局职工医院,武冈市商业局职工医院,公立/综合医院,未知
湖南省,邵阳市,武冈市,武冈市计生医院,武冈市计生医院,公立/综合医院,未知
湖南省,邵阳市,武冈市,武冈市皮肤医院,武冈市皮肤医院,公立/综合医院,未知
湖南省,邵阳市,武冈市,武冈市妇幼保健院,武冈市妇幼保健院,公立/综合医院,未知
湖南省,邵阳市,武冈市,武冈市第二人民医院武冈市红十字医院,武冈市第二人民医院武冈市红十字医院,公立/综合医院,一级甲等
湖南省,邵阳市,武冈市,武冈市中医院,武冈市中医院,公立/综合医院,二级乙等
湖南省,邵阳市,武冈市,武冈市人民医院,武冈市人民医院,公立/综合医院,二级甲等
湖南省,邵阳市,武冈市,武冈市计育医院,武冈市计育医院,公立/综合医院,未知
湖南省,邵阳市,武冈市,武岗市第二人民医院,武岗市第二人民医院,公立/综合医院,一级甲等
