省,市,区,全名,别名,性质,等级
湖南省,岳阳市,岳阳楼区,中国化学工程第四建设公司职工医院,中国化学工程第四建设公司职工医院,公立/综合医院,一级甲等
湖南省,岳阳市,岳阳楼区,岳阳玛丽亚妇产医院,岳阳玛丽亚,其他/专科医院,未知
湖南省,岳阳市,岳阳楼区,岳阳现代男科医院,岳阳现代,民营/专科医院,民营医院
湖南省,岳阳市,岳阳楼区,岳阳恒康医院,岳阳恒康五官专科医院,民营/专科医院,未知
湖南省,岳阳市,岳阳楼区,岳阳市三人民医院,岳阳市三医院,公立/综合医院,未评级
湖南省,岳阳市,岳阳楼区,湖南省血防所附属湘岳医院,湖南省血防所附属湘岳医院,公立/综合医院,二级甲等
湖南省,岳阳市,岳阳楼区,岳阳市第三人民医院,岳阳市血吸虫病防治所,公立/综合医院,未知
湖南省,岳阳市,岳阳楼区,湖南省肿瘤医院岳阳分院,湖南省肿瘤医院岳阳分院,公立/专科医院,未知
湖南省,岳阳市,岳阳楼区,岳阳市职业技术学院附属医院,岳阳市职业技术学院附属医院,公立/综合医院,二级甲等
湖南省,岳阳市,岳阳楼区,岳阳市铁路医院,岳阳市铁路医院,公立/综合医院,二级甲等
湖南省,岳阳市,岳阳楼区,岳阳市妇幼保健院,岳阳市妇幼保健院,公立/综合医院,二级甲等
湖南省,岳阳市,岳阳楼区,岳阳市中医院,湖南中医药大学附属岳阳医院,公立/综合医院,二级甲等
湖南省,岳阳市,岳阳楼区,岳阳市第一人民医院,岳阳市第一人民医院,公立/综合医院,三级甲等　　
