省,市,区,全名,别名,性质,等级
湖南省,常德市,武陵区,常德市中医院,常德市中医院,公立/综合医院,一级甲等
湖南省,常德市,武陵区,常德华山医院,常德华山医院,民营/综合医院,未评级
湖南省,常德市,武陵区,常武医院,常德市常武医院,合资/综合医院,未知
湖南省,常德市,武陵区,常德九龙医院,常德九龙男科医院,其他/专科医院,未评级
湖南省,常德市,武陵区,常德男科医院,常德男性,民营/专科医院,未评级
湖南省,常德市,武陵区,常德市正健医院,常德市正健医院,民营/专科医院,民营医院
湖南省,常德市,武陵区,湖南省常德市第二中医院前列腺治疗中心,湖南省常德市第二中医院前列腺治疗中心,公立/综合医院,未知
湖南省,常德市,武陵区,常德市第二中医院,湖南省中医肝病医疗中心,公立/综合医院,二级甲等
湖南省,常德市,武陵区,常德市第一中医医院,常德市第一中医医院,公立/综合医院,二级甲等
湖南省,常德市,武陵区,常德市第六人民医院,常德市第六人民医院,公立/综合医院,二级甲等
湖南省,常德市,武陵区,常德市第三人民医院,常德市第三人民医院,公立/综合医院,二级甲等
湖南省,常德市,武陵区,常德市职业技术学院附属医院,常德市职业技术学院附属医院,公立/综合医院,二级甲等
湖南省,常德市,武陵区,常德市第一人民医院德山分院,常德市第一人民医院德山分院,公立/综合医院,二级甲等
湖南省,常德市,武陵区,常德市第二人民医院,常德市第二人民医院,公立/综合医院,二级甲等
湖南省,常德市,武陵区,常德市妇幼保健院,常德市妇幼保健院,公立/综合医院,二级甲等
湖南省,常德市,武陵区,常德市第五人民医院,常德市血吸虫病防治院,公立/综合医院,二级甲等
湖南省,常德市,武陵区,常德市第四人民医院,常德市第四人民医院,公立/综合医院,二级甲等
湖南省,常德市,武陵区,常德市第一人民医院,常德市第一人民医院,公立/综合医院,三级甲等　　
