省,市,区,全名,别名,性质,等级
湖南省,郴州市,北湖区,郴州市第三人民医院郴州医专附属医院,郴州市第三人民医院郴州医专附属医院,公立/综合医院,一级甲等
湖南省,郴州市,北湖区,北湖区妇幼保健院,北湖区妇幼保健院,公立/妇幼保健医院,未知
湖南省,郴州市,北湖区,郴州市同仁医院,郴州市同仁医院,个体户/综合医院,一级甲等
湖南省,郴州市,北湖区,郴州现代女子医院,郴州现代女子医疗美容,民营/专科医院,民营医院
湖南省,郴州市,北湖区,郴州市立医院,郴州市立医院,公立/综合医院,一级甲等
湖南省,郴州市,北湖区,郴州正健医院,正健（郴州）医院,民营/专科医院,未知
湖南省,郴州市,北湖区,郴州建国男科医院,郴州男科医院,民营/专科医院,民营医院
湖南省,郴州市,北湖区,郴州福康医院,郴州不孕不育专科医院,民营/综合医院,未知
湖南省,郴州市,北湖区,郴州市侗仁医院,郴州市侗仁医院,民营/综合医院,未知
湖南省,郴州市,北湖区,郴州市第五人民医院,郴州市第五人民医院,公立/综合医院,二级甲等
湖南省,郴州市,北湖区,郴州市第三人民医院,郴州市立医院,公立/综合医院,二级甲等
湖南省,郴州市,北湖区,郴州市中医院,郴州市中医院,公立/综合医院,二级甲等
湖南省,郴州市,北湖区,郴州市第一人民医院,郴州市第一人民医院,公立/综合医院,三级甲等　　
