省,市,区,全名,别名,性质,等级
湖南省,永州市,冷水滩区,永州市中心医院,湖南省永州市人民医院，南华大学永州临床医院,公立/综合医院,三级甲等　　
湖南省,永州市,冷水滩区,冷水滩市中医院,冷水滩市中医院,公立/综合医院,未知
湖南省,永州市,冷水滩区,永州市中医院,中医院,公立/综合医院,三级甲等　　
湖南省,永州市,冷水滩区,永州协和泌尿生殖专科医院,永州协和医院,民营/综合医院,未知
湖南省,永州市,冷水滩区,永州凤凰妇产医院,永州凤凰妇产医院,民营/专科医院,民营医院
湖南省,永州市,冷水滩区,永州佳美皮肤医院,永州佳美皮肤医院,民营/专科医院,民营医院
湖南省,永州市,冷水滩区,永州阿波罗男子医院,永州阿波罗男子医院,公立/综合医院,一级甲等
湖南省,永州市,冷水滩区,冷水滩市人民医院,冷水滩市人民医院,公立/综合医院,未知
湖南省,永州市,冷水滩区,冷水江金竹山电厂职工医院,冷水江金竹山电厂职工医院,公立/综合医院,一级甲等
湖南省,永州市,冷水滩区,永州航海中医肝病医院,航海肝病医院,民营/专科医院,民营医院
湖南省,永州市,冷水滩区,永州阿波罗男子医院,永州阿波罗男子医院,公立/专科医院,二级甲等
湖南省,永州市,冷水滩区,永州东方医院,永州东方男科医院,民营/专科医院,未知
