省,市,区,全名,别名,性质,等级
湖南省,怀化市,鹤城区,怀化市第五人民医院,怀化铁路医院，怀化医专附属怀化铁路医院,公立/综合医院,二级甲等
湖南省,怀化市,鹤城区,怀化正健医院,正健（怀化）医院,民营/专科医院,未评级
湖南省,怀化市,鹤城区,怀化弘济医院,弘济妇科医院,民营/综合医院,未评级
湖南省,怀化市,鹤城区,怀化军华医院,军华医院,民营/综合医院,民营医院
湖南省,怀化市,鹤城区,怀化鹤城玛丽亚医院,怀化玛丽亚妇产医院,民营/综合医院,一级甲等
湖南省,怀化市,鹤城区,怀化安贞妇产医院,怀化安贞医院,民营/专科医院,民营医院
湖南省,怀化市,鹤城区,怀化市第三人民医院,怀化医专附属医院怀化市第三人民医院,公立/综合医院,三级甲等　　
湖南省,怀化市,鹤城区,中国人民解放军第五三五医院,中国人民解放军第五三五医院,公立/综合医院,二级甲等
湖南省,怀化市,鹤城区,怀化医专附属,怀化铁路医院,公立/综合医院,二级甲等
湖南省,怀化市,鹤城区,怀化市妇女儿童医院,怀化市妇女儿童医院,公立/综合医院,二级甲等
湖南省,怀化市,鹤城区,怀化市中医院,怀化市中医院,公立/综合医院,三级甲等　　
湖南省,怀化市,鹤城区,怀化医专附属医院,怀化市第三人民医院,公立/综合医院,二级甲等
湖南省,怀化市,鹤城区,怀化市第一人民医院,南华大学附属怀化医院,公立/综合医院,三级甲等　　
湖南省,怀化市,鹤城区,铁道部第五工程局怀化医院,铁道部第五工程局怀化医院,公立/综合医院,一级甲等
湖南省,怀化市,鹤城区,怀化市红十字医院,红十字医院,其他/综合医院,未知
