省,市,区,全名,别名,性质,等级
湖南省,湘西州,吉首市,吉首丽人医院,吉首丽人医院,民营/专科医院,未知
湖南省,湘西州,吉首市,湘西州肿瘤医院,湘西州肿瘤医院,公立/综合医院,一级甲等
湖南省,湘西州,吉首市,湘西州荣复医院,湘西州荣复医院,公立/综合医院,一级甲等
湖南省,湘西州,吉首市,湘西土家族苗族自治州妇幼保健院,湘西土家族苗族自治州妇幼保健院,公立/综合医院,一级甲等
湖南省,湘西州,吉首市,湘西州康复医院湘西州肿瘤医院,湘西州康复医院湘西州肿瘤医院,公立/综合医院,一级甲等
湖南省,湘西州,吉首市,湘西州妇幼保健院,湘西州妇幼保健院,公立/综合医院,一级甲等
湖南省,湘西州,吉首市,湘西土家族苗族自治州荣复医院,湘西土家族苗族自治州荣复医院,公立/综合医院,一级甲等
湖南省,湘西州,吉首市,湘西自治州肿瘤医院,湘西自治州肿瘤医院,公立/综合医院,一级甲等
湖南省,湘西州,吉首市,吉首市妇幼保健站,吉首市妇幼保健站,公立/综合医院,未知
湖南省,湘西州,吉首市,吉首市人民医院,吉首市人民医院,公立/综合医院,二级甲等
湖南省,湘西州,吉首市,湘西州人民医院,湘西州人民医院,公立/综合医院,三级甲等　　
