省,市,区,全名,别名,性质,等级
辽宁省,沈阳市,沈河区,沈阳空军机关医院,沈阳705医院癫痫病,公立/综合医院,二级甲等
辽宁省,沈阳市,沈河区,沈阳和美妇产医院,沈阳和美妇产医院,民营/专科医院,民营医院
辽宁省,沈阳市,沈河区,沈河区眼病专科医院,沈河区眼病专科医院,公立/综合医院,二级甲等
辽宁省,沈阳市,沈河区,沈河区烧伤专科医院,沈河区烧伤专科医院,公立/综合医院,二级甲等
辽宁省,沈阳市,沈河区,沈河区结核病防治所,沈河区结核病防治所,公立/综合医院,二级甲等
辽宁省,沈阳市,沈河区,沈河区回民医院,沈河区回民医院,公立/综合医院,二级甲等
辽宁省,沈阳市,沈河区,辽宁省友谊医院残疾儿童康复中心,辽宁省友谊医院,公立/综合医院,二级甲等
辽宁省,沈阳市,沈河区,辽宁省人民医院,辽宁省红十字会医院，辽宁省心血管病医院,公立/综合医院,三级甲等　　
辽宁省,沈阳市,沈河区,沈阳市沈河区红十字会医院,沈阳市沈河区红十字会医院,公立/综合医院,三级甲等　　
辽宁省,沈阳市,沈河区,辽阳省金秋医院,辽阳省金秋医院,公立/综合医院,三级甲等　　
辽宁省,沈阳市,沈河区,沈阳市红十字会医院,沈阳市红十字会医院,公立/综合医院,三级甲等　　
辽宁省,沈阳市,沈河区,沈阳军区总医院,沈阳军区总医院,公立/综合医院,三级甲等　　
辽宁省,沈阳市,沈河区,沈阳市沈河区眼病专科医院,沈阳市沈河区眼病专科医院,公立/综合医院,二级甲等
辽宁省,沈阳市,沈河区,沈阳市沈河区烧伤专科医院,沈阳市沈河区烧伤专科医院,公立/综合医院,二级甲等
辽宁省,沈阳市,沈河区,沈阳市沈河区结核病防治所,沈阳市沈河区结核病防治所,公立/综合医院,二级甲等
辽宁省,沈阳市,沈河区,沈阳市沈河区回民医院,沈阳市沈河区回民医院,公立/综合医院,二级甲等
辽宁省,沈阳市,沈河区,沈阳工业学院医院中俄眼科,沈阳工业学院医院中俄眼科,公立/综合医院,二级甲等
辽宁省,沈阳市,沈河区,沈阳市仁济医院,沈阳仁济医院,民营/综合医院,二级甲等
辽宁省,沈阳市,沈河区,辽宁省东北电业中心医院,辽宁省东北电业中心医院,公立/综合医院,二级甲等
辽宁省,沈阳市,沈河区,沈阳空军机关医院,沈阳空军机关医院(沈阳癫痫病医院),公立/综合医院,未知
辽宁省,沈阳市,沈河区,沈阳中山医院,沈阳中山性病研究院,民营/综合医院,未评级
辽宁省,沈阳市,沈河区,沈阳脑康中医院,辽宁省沈阳市精神病专科医院,其他/专科医院,二级甲等
辽宁省,沈阳市,沈河区,航空航天工业部第六Ｏ六研究所职工医院,航空航天工业部第六Ｏ六研究所职工医院,公立/综合医院,一级甲等
辽宁省,沈阳市,沈河区,沈阳市故宫耳鼻喉医院,沈阳市故宫耳鼻喉医院,民营/综合医院,三级甲等　　
辽宁省,沈阳市,沈河区,沈阳军区总医院放射肿瘤治疗中心,沈阳军区总医院放射肿瘤治疗中心,公立/专科医院,二级甲等
辽宁省,沈阳市,沈河区,沈阳军区空军七Ｏ五医院,沈翔七零五医院,公立/综合医院,未评级
辽宁省,沈阳市,沈河区,辽宁省荣军康复医院,辽宁省荣军康复医院,公立/综合医院,二级甲等
辽宁省,沈阳市,沈河区,沈阳市沈河区妇婴医院,沈阳市沈河区妇婴医院,公立/综合医院,二级甲等
辽宁省,沈阳市,沈河区,沈阳市沈河区中医院,沈阳市沈河区中医院,公立/综合医院,二级甲等
辽宁省,沈阳市,沈河区,沈阳市沈河区第八医院,沈阳市沈河区第八医院,公立/综合医院,二级甲等
辽宁省,沈阳市,沈河区,沈阳市沈河区第七医院,沈阳市沈河区第七医院,公立/综合医院,二级甲等
辽宁省,沈阳市,沈河区,沈阳市沈河区第五医院,沈阳市沈河区第五医院,公立/综合医院,二级甲等
辽宁省,沈阳市,沈河区,沈阳市沈河区第三医院,沈阳市沈河区第三医院,公立/综合医院,二级甲等
辽宁省,沈阳市,沈河区,沈阳市沈河区人民医院,沈阳市沈河区人民医院,公立/综合医院,二级甲等
辽宁省,沈阳市,沈河区,沈阳市红十字博爱专科医院,沈阳市红十字博爱专科医院,公立/专科医院,二级甲等
辽宁省,沈阳市,沈河区,沈阳市类风湿病专科医院,沈阳市类风湿病专科医院,公立/综合医院,二级甲等
辽宁省,沈阳市,沈河区,辽宁电力中心医院,辽宁电力中心医院,公立/综合医院,二级甲等
辽宁省,沈阳市,沈河区,沈阳市华泰医院,华泰中医,公立/综合医院,二级甲等
辽宁省,沈阳市,沈河区,沈阳市金林医院,沈阳市金林医院,公立/综合医院,二级甲等
辽宁省,沈阳市,沈河区,沈阳市沈河区第九医院,沈阳市沈河区第九医院,公立/综合医院,二级甲等
辽宁省,沈阳市,沈河区,沈阳市沈河区第六医院,沈阳市沈河区第六医院,公立/综合医院,二级甲等
辽宁省,沈阳市,沈河区,沈阳市妇婴医院,沈阳市妇婴医院,公立/专科医院,三级甲等　　
辽宁省,沈阳市,沈河区,辽宁省金秋医院,辽宁省金秋医院,公立/综合医院,三级甲等　　
辽宁省,沈阳市,沈河区,辽宁中医药大学附属医院中西医结合分院,辽宁中医药大学附属医院中西医结合分院,公立/综合医院,三级甲等　　
辽宁省,沈阳市,沈河区,沈阳长峰中医院,沈阳长峰医院,民营/专科医院,未评级
辽宁省,沈阳市,沈河区,沈阳男健医院,沈阳男健男科医院,民营/专科医院,民营医院
辽宁省,沈阳市,沈河区,沈阳燕都医院,沈阳燕都哮喘病医院,其他/专科医院,未知
辽宁省,沈阳市,沈河区,沈阳东澳疼痛专科,沈阳东澳疼痛专科,民营/专科医院,民营医院
辽宁省,沈阳市,沈河区,桓仁县中医院,桓仁县中医院,公立/综合医院,一级甲等
辽宁省,沈阳市,沈河区,沈阳市故宫医院,沈阳市故宫医院,个体户/综合医院,一级甲等
辽宁省,沈阳市,沈河区,沈阳六零六所医院,沈阳六零六所医院,公立/综合医院,一级甲等
辽宁省,沈阳市,沈河区,沈阳京城强直性脊柱炎医学研究院,沈阳京城医院,其他/专科医院,未知
辽宁省,沈阳市,沈河区,沈阳军区政治部医院,沈阳军区政治部医院,公立/综合医院,一级甲等
辽宁省,沈阳市,沈河区,中一东北国际医院（99健康网）,东北国际医院,民营/综合医院,民营医院
辽宁省,沈阳市,沈河区,沈阳705医院,沈翔705医院,公立/综合医院,二级甲等
辽宁省,沈阳市,沈河区,沈阳现代医院,沈阳现代耳鼻喉医院,民营/综合医院,未知
辽宁省,沈阳市,沈河区,沈阳建国男科医院,沈阳建国医院,民营/专科医院,未知
辽宁省,沈阳市,沈河区,沈阳男科医院（沈阳军区政治部医院男科）,沈阳长城医院,公立/综合医院,二级甲等
辽宁省,沈阳市,沈河区,辽宁省东方医药研究院临床医院,辽宁省东方临床医院,民营/综合医院,民营医院
辽宁省,沈阳市,沈河区,沈阳华泰中医院,沈阳华泰中医,民营/专科医院,未知
辽宁省,沈阳市,沈河区,沈阳当代医院,沈阳当代医院,个体户/专科医院,未知
辽宁省,沈阳市,沈河区,沈阳市长城医院, 沈阳市长城医院,公立/综合医院,未知
辽宁省,沈阳市,沈河区,沈阳市故宫医院（民营）,沈阳市故宫医院,个体户/综合医院,一级甲等
