省,市,区,全名,别名,性质,等级
辽宁省,沈阳市,大东区,沈阳协和医院,沈阳协和肛肠医院,公立/综合医院,一级甲等
辽宁省,沈阳市,大东区,沈阳骨科医院, 沈阳市骨科医院,公立/骨科医院,二级甲等
辽宁省,沈阳市,大东区,沈阳市大东区第三中医院,沈阳市大东区第三中医院,公立/综合医院,未知
辽宁省,沈阳市,大东区,中国人民解放军第二Ｏ一医院,中国人民解放军第二Ｏ一医院,公立/综合医院,一级甲等
辽宁省,沈阳市,大东区,沈阳二零四医院,沈阳二零四医院,公立/综合医院,一级甲等
辽宁省,沈阳市,大东区,沈阳市大东区东蒂医院,沈阳市大东区东蒂医院,公立/综合医院,未知
辽宁省,沈阳市,大东区,辽宁省血液中心沈阳中心血站,辽宁省血液中心沈阳中心血站,公立/综合医院,二级甲等
辽宁省,沈阳市,大东区,辽宁省黎明二Ｏ四医院,辽宁省黎明二Ｏ四医院,公立/综合医院,一级甲等
辽宁省,沈阳市,大东区,辽宁省中医院分院,沈阳大东区中医院,个体户/综合医院,一级甲等
辽宁省,沈阳市,大东区,沈阳市德济医院,沈阳市德济医院,民营/综合医院,二级甲等
辽宁省,沈阳市,大东区,沈阳市沈海医院,沈阳市沈海医院,民营/综合医院,二级甲等
辽宁省,沈阳市,大东区,沈阳市东城医院,沈阳东城皮肤病医院,民营/综合医院,二级甲等
辽宁省,沈阳市,大东区,沈阳二0四医院生殖中心,沈阳二0四医院生殖中心,民营/综合医院,二级甲等
辽宁省,沈阳市,大东区,沈阳市振东一五八医院,沈阳市振东一五八医院,公立/综合医院,二级甲等
辽宁省,沈阳市,大东区,沈阳市中医肿瘤医药研究所,沈阳市中医肿瘤医药研究所,公立/专科医院,二级甲等
辽宁省,沈阳市,大东区,沈阳市医学会南塔脑血管病医院,沈阳市医学会南塔脑血管病医院,公立/综合医院,二级甲等
辽宁省,沈阳市,大东区,沈阳市市政建设工程公司职工医院,沈阳市市政建设工程公司职工医院,公立/综合医院,二级甲等
辽宁省,沈阳市,大东区,沈阳建筑机械厂职工医院,沈阳建筑机械厂职工医院,公立/综合医院,二级甲等
辽宁省,沈阳市,大东区,沈阳市大东区中医肿瘤医院,沈阳市大东区中医肿瘤医院,公立/专科医院,二级甲等
辽宁省,沈阳市,大东区,沈阳中捷人民友谊厂职工医院,沈阳中捷人民友谊厂职工医院,公立/综合医院,二级甲等
辽宁省,沈阳市,大东区,沈阳市大东区人民医院,沈阳市大东区人民医院,公立/综合医院,二级甲等
辽宁省,沈阳市,大东区,沈阳市大东区新生医院,沈阳市大东区新生医院,公立/综合医院,二级甲等
辽宁省,沈阳市,大东区,沈阳市大东区红十字会医院,沈阳市大东区红十字会医院,公立/综合医院,二级甲等
辽宁省,沈阳市,大东区,沈阳市骨科医院,沈阳市骨科医院,公立/专科医院,二级甲等
辽宁省,沈阳市,大东区,中国人民解放军一五七医院,中国人民解放军一五七医院,公立/综合医院,三级甲等　　
辽宁省,沈阳市,大东区,沈阳阳光健康管理有限公司大东门诊部,沈阳阳光体检,合资/门诊,民营医院
辽宁省,沈阳市,大东区,沈阳凤凰妇科医院,沈阳凤凰妇科医院,其他/专科医院,未评级
辽宁省,沈阳市,大东区,沈阳二四五医院,沈阳二四五医院,公立/综合医院,未知
辽宁省,沈阳市,大东区,大东区结核病防治所,大东区结核病防治所,公立/综合医院,二级甲等
辽宁省,沈阳市,大东区,大东区北海糖尿病医院,大东区北海糖尿病医院,公立/综合医院,二级甲等
辽宁省,沈阳市,大东区,大东区牙病防治所,大东区牙病防治所,公立/综合医院,二级甲等
辽宁省,沈阳市,大东区,大东区中医骨科医院,大东区中医骨科医院,公立/专科医院,二级甲等
辽宁省,沈阳市,大东区,大东区红十字会医院,大东区红十字会医院,公立/综合医院,二级甲等
辽宁省,沈阳市,大东区,大东区津桥中医院,大东区津桥中医院,公立/综合医院,二级甲等
辽宁省,沈阳市,大东区,大东区小北中医院,大东区小北中医院,公立/综合医院,二级甲等
辽宁省,沈阳市,大东区,大东区第二中医院,大东区第二中医院,公立/综合医院,二级甲等
辽宁省,沈阳市,大东区,大东区中医院,大东区中医院,公立/综合医院,二级甲等
辽宁省,沈阳市,大东区,大东区第九医院,大东区第九医院,公立/综合医院,二级甲等
辽宁省,沈阳市,大东区,大东区第八医院,大东区第八医院,公立/综合医院,二级甲等
辽宁省,沈阳市,大东区,大东区第六医院,大东区第六医院,公立/综合医院,二级甲等
辽宁省,沈阳市,大东区,大东区第五医院,大东区第五医院,公立/综合医院,二级甲等
辽宁省,沈阳市,大东区,大东区第四医院,大东区第四医院,公立/综合医院,二级甲等
辽宁省,沈阳市,大东区,大东区第三医院,大东区第三医院,公立/综合医院,二级甲等
辽宁省,沈阳市,大东区,大东区第二人民医院,大东区第二人民医院,公立/综合医院,二级甲等
辽宁省,沈阳市,大东区,大东区人民医院,大东区人民医院,公立/综合医院,二级甲等
辽宁省,沈阳市,大东区,沈阳矿山机械厂职工医院,沈阳矿山机械厂职工医院,公立/综合医院,二级甲等
辽宁省,沈阳市,大东区,沈阳第四建筑公司职工医院,沈阳第四建筑公司职工医院,公立/综合医院,二级甲等
辽宁省,沈阳市,大东区,沈阳铁路工程处医院,沈阳铁路工程处医院,公立/综合医院,二级甲等
辽宁省,沈阳市,大东区,沈阳市第一人民医院,沈阳市第一人民医院,公立/综合医院,三级甲等　　
辽宁省,沈阳市,大东区,中国人民解放军第463医院,沈阳463医院,公立/综合医院,三级甲等　　
辽宁省,沈阳市,大东区,辽宁省肿瘤医院,辽宁省肿瘤医院,公立/专科医院,三级甲等　　
辽宁省,沈阳市,大东区,沈阳市大东区结核病防治所,沈阳市大东区结核病防治所,公立/综合医院,二级甲等
辽宁省,沈阳市,大东区,沈阳市大东区北海糖尿病医院,沈阳市大东区北海糖尿病医院,公立/综合医院,二级甲等
辽宁省,沈阳市,大东区,沈阳市大东区牙病防治所,沈阳市大东区牙病防治所,公立/综合医院,二级甲等
辽宁省,沈阳市,大东区,沈阳市大东区中医骨科医院,沈阳市大东区中医骨科医院,公立/专科医院,二级甲等
辽宁省,沈阳市,大东区,沈阳市大东区津桥中医院,沈阳市大东区津桥中医院,公立/综合医院,二级甲等
辽宁省,沈阳市,大东区,沈阳市大东区小北中医院,沈阳市大东区小北中医院,公立/综合医院,二级甲等
辽宁省,沈阳市,大东区,沈阳市大东区第二中医院,沈阳市大东区第二中医院,公立/综合医院,二级甲等
辽宁省,沈阳市,大东区,沈阳市大东区中医院,沈阳市大东区中医院,公立/综合医院,二级甲等
辽宁省,沈阳市,大东区,沈阳市大东区第九医院,沈阳市大东区第九医院,公立/综合医院,二级甲等
辽宁省,沈阳市,大东区,沈阳市大东区第八医院,沈阳市大东区第八医院,公立/综合医院,二级甲等
辽宁省,沈阳市,大东区,沈阳市大东区第六医院,沈阳市大东区第六医院,公立/综合医院,二级甲等
辽宁省,沈阳市,大东区,沈阳市大东区第五医院,沈阳市大东区第五医院,公立/综合医院,二级甲等
辽宁省,沈阳市,大东区,沈阳市大东区第四医院,沈阳市大东区第四医院,公立/综合医院,二级甲等
辽宁省,沈阳市,大东区,沈阳市大东区第三医院,沈阳市大东区第三医院,公立/综合医院,二级甲等
辽宁省,沈阳市,大东区,沈阳市大东区第二人民医院,沈阳市大东区第二人民医院,公立/综合医院,二级甲等
辽宁省,沈阳市,大东区,沈阳沈东铁路医院,沈阳沈东铁路医院,公立/综合医院,二级甲等
辽宁省,沈阳市,大东区,沈阳医学会东城医院,沈阳医学会东城医院,公立/综合医院,二级甲等
辽宁省,沈阳市,大东区,沈阳市胸科医院,沈阳市第十人民医院,公立/专科医院,二级甲等
辽宁省,沈阳市,大东区,中国人民解放军第三五Ｏ五医院,中国人民解放军第三五Ｏ五医院,公立/综合医院,一级甲等
辽宁省,沈阳市,大东区,沈阳桃仙国际机场民航沈阳医院,沈阳桃仙国际机场民航沈阳医院,公立/综合医院,一级甲等
辽宁省,沈阳市,大东区,沈阳新生医院,沈阳新生医院,公立/综合医院,一级甲等
辽宁省,沈阳市,大东区,桓仁县秋实医院,桓仁县秋实医院,公立/综合医院,二级甲等
