省,市,区,全名,别名,性质,等级
辽宁省,沈阳市,皇姑区,沈阳中亚白癜风研究所,沈阳白癜风医院_沈阳白癜风专科医院,其他/专科医院,未知
辽宁省,沈阳市,皇姑区,沈阳松陵医院,沈阳松陵医院,公立/综合医院,二级甲等
辽宁省,沈阳市,皇姑区,沈阳市博爱医院,沈阳市博爱医院,民营/综合医院,二级甲等
辽宁省,沈阳市,皇姑区,沈阳市大众医院,沈阳市大众医院,民营/综合医院,二级甲等
辽宁省,沈阳市,皇姑区,沈阳市安宁医院皇姑分院,沈阳市安宁医院皇姑分院,民营/综合医院,二级甲等
辽宁省,沈阳市,皇姑区,辽宁中医药大学龙江中医院,辽宁中医药大学龙江中医院,公立/综合医院,二级甲等
辽宁省,沈阳市,皇姑区,沈阳市皇姑区中医医院,沈阳市皇姑区中医医院,公立/综合医院,二级甲等
辽宁省,沈阳市,皇姑区,沈阳军区总医院北方医院,沈阳军区总医院北方医院,公立/综合医院,二级甲等
辽宁省,沈阳市,皇姑区,辽宁求实白癫疯研究所,辽宁求实白癫疯研究所,公立/综合医院,二级甲等
辽宁省,沈阳市,皇姑区,沈阳市老年病康复医院,沈阳市老年病康复医院,公立/综合医院,二级甲等
辽宁省,沈阳市,皇姑区,沈阳中医前列腺病研究所,沈阳中医前列腺病研究所,公立/综合医院,二级甲等
辽宁省,沈阳市,皇姑区,沈阳市精神病康复医院,辽宁省精神卫生防治基地,公立/综合医院,二级甲等
辽宁省,沈阳市,皇姑区,沈阳市眼病医院,沈阳市眼病医院,公立/综合医院,二级甲等
辽宁省,沈阳市,皇姑区,沈阳市皇姑区中心医院,沈阳市皇姑区中心医院,公立/综合医院,二级甲等
辽宁省,沈阳市,皇姑区,沈阳市松陵医院,沈阳市松陵医院,公立/综合医院,二级甲等
辽宁省,沈阳市,皇姑区,沈阳市蓝天医院,沈阳市蓝天医院,公立/综合医院,二级甲等
辽宁省,沈阳市,皇姑区,沈阳何氏眼科医院,沈阳何氏眼科医院,民营/专科医院,三级甲等　　
辽宁省,沈阳市,皇姑区,沈阳市第四人民医院,沈阳市第四人民医院,公立/综合医院,三级甲等　　
辽宁省,沈阳市,皇姑区,沈阳市妇儿医疗保健中心,沈阳市妇儿医疗保健中心,公立/综合医院,三级甲等　　
辽宁省,沈阳市,皇姑区,沈阳市儿童医院,沈阳市儿童医院,公立/综合医院,三级甲等　　
辽宁省,沈阳市,皇姑区,沈阳第四人民医院,沈阳市第四人民医院,公立/综合医院,三级甲等　　
辽宁省,沈阳市,皇姑区,沈阳市皇姑区精神卫生中心,沈阳市皇姑区精神卫生中心,公立/综合医院,未知
辽宁省,沈阳市,皇姑区,沈阳市皇姑区北陵医院,沈阳市皇姑区北陵医院,公立/综合医院,二级甲等
辽宁省,沈阳市,皇姑区,皇姑区红十字会肛肠医院,皇姑区红十字会肛肠医院,公立/综合医院,二级甲等
辽宁省,沈阳市,皇姑区,皇姑区妇婴医院,皇姑区妇婴医院,公立/综合医院,二级甲等
辽宁省,沈阳市,皇姑区,皇姑区红十字会医院,皇姑区红十字会医院,公立/综合医院,二级甲等
辽宁省,沈阳市,皇姑区,皇姑区中医院,皇姑区中医院,公立/综合医院,二级甲等
辽宁省,沈阳市,皇姑区,皇姑区第八人民医院,皇姑区第八人民医院,公立/综合医院,二级甲等
辽宁省,沈阳市,皇姑区,皇姑区第七人民医院,皇姑区第七人民医院,公立/综合医院,二级甲等
辽宁省,沈阳市,皇姑区,皇姑区第四人民医院,皇姑区第四人民医院,公立/综合医院,二级甲等
辽宁省,沈阳市,皇姑区,皇姑区第二人民医院,皇姑区第二人民医院,公立/综合医院,二级甲等
辽宁省,沈阳市,皇姑区,皇姑区第一人民医院,皇姑区第一人民医院,公立/综合医院,二级甲等
辽宁省,沈阳市,皇姑区,辽宁省中医药研究院,辽宁中医药大学附属第二医院,公立/综合医院,三级甲等　　
辽宁省,沈阳市,皇姑区,辽宁省沈安劳动改造支队医院,辽宁省沈安劳动改造支队医院,公立/综合医院,二级甲等
辽宁省,沈阳市,皇姑区,沈阳市第三建筑工程公司职工医院,沈阳市第三建筑工程公司职工医院,公立/综合医院,二级甲等
辽宁省,沈阳市,皇姑区,沈阳机车车辆厂医院,沈阳机车车辆厂医院,公立/综合医院,二级甲等
辽宁省,沈阳市,皇姑区,沈阳医学院附属第三医院,沈阳二四二医院,公立/综合医院,三级甲等　　
辽宁省,沈阳市,皇姑区,辽宁省中医院,辽宁省中医药大学附属医院,公立/综合医院,三级甲等　　
辽宁省,沈阳市,皇姑区,沈阳市皇姑区妇婴医院,沈阳市皇姑区妇婴医院,公立/综合医院,二级甲等
辽宁省,沈阳市,皇姑区,沈阳市皇姑区红十字会医院,沈阳市皇姑区红十字会医院,公立/综合医院,二级甲等
辽宁省,沈阳市,皇姑区,沈阳市皇姑区中医院,沈阳市皇姑区中医院,公立/综合医院,二级甲等
辽宁省,沈阳市,皇姑区,沈阳市皇姑区第八人民医院,沈阳市皇姑区第八人民医院,公立/综合医院,二级甲等
辽宁省,沈阳市,皇姑区,沈阳市皇姑区第七人民医院,沈阳市皇姑区第七人民医院,公立/综合医院,二级甲等
