省,市,区,全名,别名,性质,等级
辽宁省,沈阳市,东陵区,辽宁省医学会肿瘤医院,辽宁省医学会肿瘤医院,公立/综合医院,一级甲等
辽宁省,沈阳市,东陵区,沈阳铁路局结核病医院,沈阳铁路局结核病医院,公立/综合医院,一级甲等
辽宁省,沈阳市,东陵区,沈阳市浑南新区医院,沈阳市浑南新区医院,公立/综合医院,一级甲等
辽宁省,沈阳市,东陵区,辉山畜牧场职工医院,辉山畜牧场职工医院,公立/综合医院,一级甲等
辽宁省,沈阳市,东陵区,沈阳市工人医院,沈阳市工人医院,公立/综合医院,二级甲等
辽宁省,沈阳市,东陵区,东陵区地方病防治站,东陵区地方病防治站,公立/综合医院,二级甲等
辽宁省,沈阳市,东陵区,东陵区汪家乡骨科医院,东陵区汪家乡骨科医院,公立/专科医院,二级甲等
辽宁省,沈阳市,东陵区,东陵区结核病防治所,东陵区结核病防治所,公立/综合医院,二级甲等
辽宁省,沈阳市,东陵区,东陵区肝胆病专科医院,东陵区肝胆病专科医院,公立/综合医院,二级甲等
辽宁省,沈阳市,东陵区,东陵区第二医院,东陵区第二医院,公立/综合医院,二级甲等
辽宁省,沈阳市,东陵区,东陵区中心医院,东陵区中心医院,公立/综合医院,二级甲等
辽宁省,沈阳市,东陵区,东陵区人民医院,东陵区人民医院,公立/综合医院,二级甲等
辽宁省,沈阳市,东陵区,沈阳市东陵区中心医院,沈阳市东陵区中心医院,公立/综合医院,一级甲等
辽宁省,沈阳市,东陵区,沈阳市东陵区地方病防治站,沈阳市东陵区地方病防治站,公立/综合医院,二级甲等
辽宁省,沈阳市,东陵区,沈阳市东陵区汪家乡骨科医院,沈阳市东陵区汪家乡骨科医院,公立/专科医院,二级甲等
辽宁省,沈阳市,东陵区,沈阳市东陵区结核病防治所,沈阳市东陵区结核病防治所,公立/综合医院,二级甲等
辽宁省,沈阳市,东陵区,沈阳市东陵区肝胆病专科医院,沈阳市东陵区肝胆病专科医院,公立/综合医院,二级甲等
辽宁省,沈阳市,东陵区,沈阳市东陵区第二医院,沈阳市东陵区第二医院,公立/综合医院,二级甲等
辽宁省,沈阳市,东陵区,沈阳市东陵区人民医院,沈阳市东陵区人民医院,公立/综合医院,二级甲等
辽宁省,沈阳市,东陵区,沈阳市北方脑血管病医院,沈阳市北方脑血管病医院,公立/综合医院,二级甲等
辽宁省,沈阳市,东陵区,辽宁高科技肿瘤研究所肺科医院,辽宁高科技肿瘤研究所肺科医院,民营/专科医院,二级甲等
辽宁省,沈阳市,东陵区,辽宁西磁研究中心血磁医院,辽宁西磁研究中心血磁医院,民营/综合医院,二级甲等
辽宁省,沈阳市,东陵区,沈阳空军93303部队医院,沈阳空军93303部队医院,公立/综合医院,二级甲等
辽宁省,沈阳市,东陵区,沈阳市传染病院,沈阳市传染病院,公立/综合医院,二级甲等
辽宁省,沈阳市,东陵区,沈阳市肝胆病医院,沈阳市肝胆病医院,公立/专科医院,二级甲等
辽宁省,沈阳市,东陵区,沈阳市东陵区望花医院,沈阳市东陵区望花医院,公立/综合医院,二级甲等
辽宁省,沈阳市,东陵区,沈阳医学会血磁医院,沈阳医学会血磁医院,公立/综合医院,二级甲等
辽宁省,沈阳市,东陵区,辽宁省糖尿病治疗中心,辽宁省糖尿病治疗中心,公立/综合医院,二级甲等
辽宁省,沈阳市,东陵区,沈阳市东陵区中医院,沈阳市东陵区中医院,公立/综合医院,二级甲等
辽宁省,沈阳市,东陵区,沈阳市第二工人医院,沈阳市第二工人医院,公立/综合医院,二级甲等
辽宁省,沈阳市,东陵区,沈阳市东陵区红十字会医院,沈阳市东陵区红十字会医院,公立/综合医院,二级甲等
辽宁省,沈阳市,东陵区,沈阳铁路局结核防治病医院,沈阳铁路局结核防治病医院,公立/综合医院,二级甲等
辽宁省,沈阳市,东陵区,沈阳市精神市卫生中心,沈阳市精神市卫生中心,公立/综合医院,二级甲等
辽宁省,沈阳市,东陵区,中国人民解放军第四六三医院,沈阳463解放军医院,公立/综合医院,三级甲等　　
辽宁省,沈阳市,东陵区,沈阳市第一结核病医院,沈阳市第一结核病医院,公立/综合医院,二级甲等
