省,市,区,全名,别名,性质,等级
辽宁省,沈阳市,新城子区,沈阳市益民医院,沈阳市益民医院,公立/综合医院,一级甲等
辽宁省,沈阳市,新城子区,新城化工厂职工医院,新城化工厂职工医院,公立/综合医院,未知
辽宁省,沈阳市,新城子区,沈阳矿务局沈阳职工总医院,沈阳矿务局沈阳职工总医院,公立/综合医院,二级甲等
辽宁省,沈阳市,新城子区,沈阳矿务局沈阳职工总医院清水分院,沈阳矿务局沈阳职工总医院清水分院,公立/综合医院,二级甲等
辽宁省,沈阳市,新城子区,沈北新区中心医院,沈北新区中心医院,公立/综合医院,二级甲等
辽宁省,沈阳市,新城子区,沈阳矿务局职工医院,沈阳矿务局职工医院,公立/综合医院,二级甲等
辽宁省,沈阳市,新城子区,沈阳市煤炭工业公司职工医院,沈阳市煤炭工业公司职工医院,公立/综合医院,二级甲等
辽宁省,沈阳市,新城子区,沈阳市新城子区医院,沈阳市新城子区医院,公立/综合医院,二级甲等
辽宁省,沈阳市,新城子区,沈阳煤业（集团）公司总医院,沈阳市益民医院,公立/综合医院,二级甲等
辽宁省,沈阳市,新城子区,沈阳市新城子区妇幼保健院,沈阳市新城子区妇幼保健院,公立/综合医院,二级甲等
辽宁省,沈阳市,新城子区,沈阳市新城子区红十字会医院,沈阳市新城子区红十字会医院,公立/综合医院,二级甲等
辽宁省,沈阳市,新城子区,沈阳市新城子区中医院,沈阳市新城子区中医院,公立/综合医院,二级甲等
辽宁省,沈阳市,新城子区,沈阳市新城子区第三医院,沈阳市新城子区第三医院,公立/综合医院,二级甲等
辽宁省,沈阳市,新城子区,沈阳市新城子区第二医院,沈阳市新城子区第二医院,公立/综合医院,二级甲等
