省,市,区,全名,别名,性质,等级
辽宁省,大连市,西岗区,大连阳光医院,大连阳光妇科医院,公立/专科医院,二级甲等
辽宁省,大连市,西岗区,中国人民解放军第四六九医院,中国人民解放军第四六九医院,公立/综合医院,一级甲等
辽宁省,大连市,西岗区,武警辽宁总队大连医院,武警辽宁总队大连医院,其他/综合医院,未知
辽宁省,大连市,西岗区,大连金石滩医院,大连金石滩中医康复医院,其他/综合医院,未知
辽宁省,大连市,西岗区,大连公安医院,大连公安医院,公立/综合医院,一级甲等
辽宁省,大连市,西岗区,大连船舶神经康复医院,大连船舶神经康复医院,公立/综合医院,一级甲等
辽宁省,大连市,西岗区,大连市结核病医院,大连市结核病医院,公立/综合医院,一级甲等
辽宁省,大连市,西岗区,解放军第210医院,210医院，大连北海医院,公立/综合医院,三级甲等　　
辽宁省,大连市,西岗区,大连九州医院,大连九州医院,个体户/综合医院,未知
辽宁省,大连市,西岗区,大连市药材公司神经内科集体医院,大连市药材公司神经内科集体医院,公立/综合医院,一级甲等
辽宁省,大连市,西岗区,大连市商业职工医院,大连市商业职工医院,公立/综合医院,二级甲等
辽宁省,大连市,西岗区,大连市张国礼神经精神医院,大连市张国礼神经精神医院,公立/综合医院,二级甲等
辽宁省,大连市,西岗区,大连今华夏医院,大连今华夏医院,民营/综合医院,二级甲等
辽宁省,大连市,西岗区,大连东方医院,大连东方医院,民营/综合医院,二级甲等
辽宁省,大连市,西岗区,大连港肿瘤集体医院,大连港肿瘤集体医院,公立/专科医院,二级甲等
辽宁省,大连市,西岗区,中国人民解放军二一四医院,滨海医院,公立/综合医院,二级甲等
辽宁省,大连市,西岗区,大连煤矿医院,大连煤矿医院,公立/综合医院,二级甲等
辽宁省,大连市,西岗区,大连市西岗区妇幼保健院,大连市西岗区妇幼保健院,公立/综合医院,二级甲等
辽宁省,大连市,西岗区,大连市西岗区人民医院,大连市西岗区人民医院,公立/综合医院,二级甲等
辽宁省,大连市,西岗区,大连市旅顺口区中医院,大连市旅顺口区中医院,公立/综合医院,二级甲等
辽宁省,大连市,西岗区,大连药材集团医院,大连药材集团医院,公立/综合医院,二级甲等
辽宁省,大连市,西岗区,大连儿童医院,大连儿童医院,公立/综合医院,未知
辽宁省,大连市,西岗区,中国人民解放军第二一Ｏ医院,中国人民解放军第二一Ｏ医院,公立/综合医院,三级甲等　　
辽宁省,大连市,西岗区,大连市第二人民医院,大连市中西医结合医院、大连市骨科医,公立/综合医院,三级甲等　　
