省,市,区,全名,别名,性质,等级
辽宁省,大连市,中山区,大连造船医院,大连造船医院,公立/综合医院,一级甲等
辽宁省,大连市,中山区,大连老虎滩骨科医院,大连老虎滩骨科医院,公立/专科医院,一级甲等
辽宁省,大连市,中山区,大连王进利医院,大连王进利医院,民营/综合医院,二级甲等
辽宁省,大连市,中山区,大连眼科医院,大连眼科医院,公立/专科医院,二级甲等
辽宁省,大连市,中山区,大连春和太原集体医院,大连春和太原集体医院,公立/综合医院,二级甲等
辽宁省,大连市,中山区,大连市轻工医院,大连市轻工医院,公立/综合医院,二级甲等
辽宁省,大连市,中山区,大连市中山医院,大连市中山医院,公立/综合医院,二级甲等
辽宁省,大连市,中山区,大连港医院,大连港医院,公立/综合医院,二级甲等
辽宁省,大连市,中山区,大连市轻工局医院,大连市轻工局医院,公立/综合医院,二级甲等
辽宁省,大连市,中山区,大连市中医院,大连市中医院,公立/综合医院,三级甲等　　
辽宁省,大连市,中山区,大连大学附属中山医院,大连大学附属中山医院,公立/综合医院,三级甲等　　
辽宁省,大连市,中山区,大连市中医医院,大连市中医医院,公立/综合医院,三级甲等　　
辽宁省,大连市,中山区,大连市友谊医院,大连市友谊医院,公立/综合医院,三级甲等　　
辽宁省,大连市,中山区,大连市第六人民医院,大连市传染病医院,公立/综合医院,三级甲等　　
辽宁省,大连市,中山区,大连铁路医院,大连铁路医院,公立/综合医院,三级甲等　　
辽宁省,大连市,中山区,大连市中山区人民医院,大连市中山区人民医院,公立/综合医院,二级甲等
辽宁省,大连市,中山区,沈阳铁路局大连医院,沈阳铁路局大连医院,公立/综合医院,二级甲等
辽宁省,大连市,中山区,大连中医院,大连中医院,公立/综合医院,未知
辽宁省,大连市,中山区,中宝口腔, 中宝口腔,个体户/口腔医院,未知
辽宁省,大连市,中山区,大连艺星医疗美容医院,大连艺星整形医院,民营/其他,民营医院
