省,市,区,全名,别名,性质,等级
辽宁省,大连市,沙河口区,大连监狱医院,大连监狱医院,公立/综合医院,一级甲等
辽宁省,大连市,沙河口区,大连市妇幼保健院,大连市妇幼保健院,公立/综合医院,一级甲等
辽宁省,大连市,沙河口区,大连渤水总公司集体医院,大连渤水总公司集体医院,公立/综合医院,一级甲等
辽宁省,大连市,沙河口区,大连机车医院,大连机车医院,公立/综合医院,二级甲等
辽宁省,大连市,沙河口区,中国人民解放军第四Ｏ三医院,403医院、四零三医院,公立/综合医院,二级甲等
辽宁省,大连市,沙河口区,大连市第五人民医院,大连市第五人民医院,公立/综合医院,二级甲等
辽宁省,大连市,沙河口区,大连医科大学附属第二医院,大连医科大学附属第二医院,公立/综合医院,三级甲等　　
辽宁省,大连市,沙河口区,大连大学医学院附属医院,大连大学医学院附属医院,公立/综合医院,三级甲等　　
辽宁省,大连市,沙河口区,大连大重医院,大连大重医院,公立/综合医院,二级甲等
辽宁省,大连市,沙河口区,大连市沙河口区医院,大连市沙河口区医院,公立/综合医院,二级甲等
辽宁省,大连市,沙河口区,大连勃海医院,大连渤海医院,民营/综合医院,未知
辽宁省,大连市,沙河口区,大连市口腔医院,大连市口腔医院,公立/专科医院,二级甲等
辽宁省,大连市,沙河口区,大连老龄委星海心脑血栓病集体医院,大连老龄委星海心脑血栓病集体医院,公立/综合医院,二级甲等
辽宁省,大连市,沙河口区,大连红十字骨科医院,大连红十字骨科医院,公立/专科医院,二级甲等
辽宁省,大连市,沙河口区,大连市甘井子区红旗地区医院,大连市甘井子区红旗地区医院,公立/综合医院,二级甲等
辽宁省,大连市,沙河口区,大连市八一建工集体医院,大连市八一建工集体医院,公立/综合医院,二级甲等
辽宁省,大连市,沙河口区,大连市同济医院,大连市同济医院,公立/综合医院,二级甲等
辽宁省,大连市,沙河口区,大连市沙河口区妇幼保健院,大连市沙河口区妇幼保健院,公立/综合医院,二级甲等
辽宁省,大连市,沙河口区,大连机车厂职工医院,大连机车厂职工医院,公立/综合医院,二级甲等
辽宁省,大连市,沙河口区,大连市老年卫协血检病康复集体医院,大连市老年卫协血检病康复集体医院,公立/综合医院,二级甲等
辽宁省,大连市,沙河口区,大连市和平骨科集体医院,大连市和平骨科集体医院,公立/专科医院,二级甲等
辽宁省,大连市,沙河口区,大连辽南晋科集体医院,大连辽南晋科集体医院,公立/综合医院,二级甲等
辽宁省,大连市,沙河口区,大连市皮肤病医院,大连市皮肤病医院,公立/综合医院,二级甲等
辽宁省,大连市,沙河口区,大连沙河口长城集体医院,大连沙河口长城集体医院,公立/综合医院,二级甲等
辽宁省,大连市,沙河口区,大连起重机器厂医院,大连起重机器厂医院,公立/综合医院,二级甲等
辽宁省,大连市,沙河口区,大连渤海水产总公司医院,大连渤海水产总公司医院,公立/综合医院,二级甲等
辽宁省,大连市,沙河口区,大连机床集团有限公司医院,大连机床集团有限公司医院,公立/综合医院,二级甲等
辽宁省,大连市,沙河口区,大连何氏眼科医院,大连何氏眼科医院,民营/综合医院,二级甲等
辽宁省,大连市,沙河口区,大连蓝盾医院,大连蓝盾医院,公立/综合医院,二级甲等
辽宁省,大连市,沙河口区,大连市沙河口区人民医院,大连市沙河口区人民医院,公立/综合医院,二级甲等
辽宁省,大连市,沙河口区,大连海辰企业集团医院,大连海辰企业集团医院,公立/综合医院,二级甲等
辽宁省,大连市,沙河口区,大连鑫凌集团医院,大连鑫凌集团医院,公立/综合医院,二级甲等
辽宁省,大连市,沙河口区,大连电机厂职工医院,大连电机厂职工医院,公立/综合医院,二级甲等
辽宁省,大连市,沙河口区,大连市妇产医院,大连市妇幼保健院,公立/综合医院,三级甲等　　
辽宁省,大连市,沙河口区,大连市中心医院,大连市中心医院,公立/综合医院,三级甲等　　
辽宁省,大连市,沙河口区,大连医科大学附属第一医院,大连医科大学附属第一医院,公立/综合医院,三级甲等　　
辽宁省,大连市,沙河口区,大连大学附属新华医院,大连大学附属新华医院,公立/综合医院,三级甲等　　
辽宁省,大连市,沙河口区,大连同泰医院,大连同泰医院,民营/综合医院,未知
辽宁省,大连市,沙河口区,大连重工集团有限公司医院,大连重工集团有限公司医院,公立/综合医院,一级甲等
辽宁省,大连市,沙河口区,大连皮肤病医院,大连市皮肤病医院,公立/综合医院,二级甲等
辽宁省,大连市,沙河口区,大连空军航天医院,大连航天医院,公立/综合医院,一级甲等
辽宁省,大连市,沙河口区,中国人民解放军第四零三医院,大连403医院,公立/综合医院,二级甲等
