省,市,区,全名,别名,性质,等级
辽宁省,大连市,金州区,大连锦达纺织集团金州纺织有限公司医院,大连锦达纺织集团金州纺织有限公司医院,公立/综合医院,未知
辽宁省,大连市,金州区,大连金州传染病医院,大连金州传染病医院,公立/专科医院,二级甲等
辽宁省,大连市,金州区,大连市金州区南山医院,大连市金州区南山医院,公立/综合医院,二级甲等
辽宁省,大连市,金州区,大连市金州区中医医院,大连市金州区中医医院,公立/综合医院,二级甲等
辽宁省,大连市,金州区,大连铁道公司大石桥医院,大连铁道公司大石桥医院,公立/综合医院,二级甲等
辽宁省,大连市,金州区,大连市金州区第四人民医院,大连市金州区第四人民医院,公立/综合医院,二级甲等
辽宁省,大连市,金州区,大连市金州区第二人民医院,大连市金州区第二人民医院,公立/综合医院,二级甲等
辽宁省,大连市,金州区,大连市金州区第一人民医院,大连市金州区第一人民医院,公立/综合医院,二级甲等
辽宁省,大连市,金州区,大连经济技术开发区医院,大连经济技术开发区医院,公立/综合医院,二级甲等
辽宁省,大连市,金州区,大连市金州区结核病防治所,大连市金州区结核病防治所,公立/综合医院,二级甲等
辽宁省,大连市,金州区,大连市金州区传染病医院,大连市金州区传染病医院,公立/综合医院,二级甲等
辽宁省,大连市,金州区,大连市金州区中医院,大连市金州区中医院,公立/综合医院,二级甲等
辽宁省,大连市,金州区,大连医科大学附属第三医院,大连医科大学附属第三医院,公立/综合医院,二级甲等
辽宁省,大连市,金州区,大连市金州纺织厂职工医院,大连市金州纺织厂职工医院,公立/综合医院,二级甲等
辽宁省,大连市,金州区,大连经济技术开发区海湾医院,大连经济技术开发区海湾医院,公立/综合医院,二级甲等
辽宁省,大连市,金州区,大连经济技术开发区中医骨科医院,大连经济技术开发区中医骨科医院,公立/专科医院,二级甲等
辽宁省,大连市,金州区,大连市金州区口腔医院,大连市金州区口腔医院,公立/专科医院,二级甲等
辽宁省,大连市,金州区,大连市金州血栓病医院,大连市金州血栓病医院,公立/综合医院,二级甲等
辽宁省,大连市,金州区,大连市金州重型机械厂职工医院,大连市金州重型机械厂职工医院,公立/综合医院,二级甲等
辽宁省,大连市,金州区,大连新港职工医院,大连新港职工医院,公立/综合医院,二级甲等
辽宁省,大连市,金州区,大连经济技术开发区现代门诊部,大连开发区现代医院,公立/专科医院,未评级
