省,市,区,全名,别名,性质,等级
辽宁省,大连市,瓦房店市,大连大学附属瓦房店医院, 大连大学附属瓦房店医院,公立/综合医院,二级甲等
辽宁省,大连市,瓦房店市,瓦房店市第四人民医院,瓦房店市第四人民医院,公立/综合医院,未知
辽宁省,大连市,瓦房店市,瓦房店第三医院,瓦房店第三医院,公立/综合医院,二级甲等
辽宁省,大连市,瓦房店市,瓦房店市中医医院,瓦房店市中医医院,公立/综合医院,二级甲等
辽宁省,大连市,瓦房店市,瓦房店市精神病医院,瓦房店市精神病医院,公立/综合医院,未知
辽宁省,大连市,瓦房店市,瓦房店市第三人民医院,瓦房店市第三人民医院,公立/综合医院,二级乙等
辽宁省,大连市,瓦房店市,瓦房店轴承集团有限公司职工医院,瓦房店轴承集团有限公司职工医院,公立/综合医院,二级甲等
辽宁省,大连市,瓦房店市,瓦房店市中心医院,瓦房店市中心医院,公立/综合医院,三级乙等
辽宁省,大连市,瓦房店市,葫芦岛市中心医院,葫芦岛市中心医院,公立/综合医院,三级甲等　　
辽宁省,大连市,瓦房店市,大连大学医学院老年病医院,大连大学医学院老年病医院,公立/综合医院,二级甲等
辽宁省,大连市,瓦房店市,大连大学老年病医院,大连大学老年病医院,公立/综合医院,二级甲等
辽宁省,大连市,瓦房店市,瓦房店第四医院,瓦房店心理精神医院,民营/专科医院,未知
