省,市,区,全名,别名,性质,等级
辽宁省,鞍山市,海城市,海城市阳光医院,海城阳光医院,民营/专科医院,未知
辽宁省,鞍山市,海城市,辽宁省未成年犯管教所医院,辽宁省未成年犯管教所医院,公立/综合医院,一级甲等
辽宁省,鞍山市,海城市,海城市耐火材料总厂职工医院,海城市耐火材料总厂职工医院,公立/综合医院,未知
辽宁省,鞍山市,海城市,海城市痔瘘医院,海城市痔瘘医院,公立/综合医院,未知
辽宁省,鞍山市,海城市,海城市第三人民医院,海城市第三人民医院,公立/综合医院,未知
辽宁省,鞍山市,海城市,海城市腾鳌地区医院,海城市腾鳌地区医院,公立/综合医院,一级甲等
辽宁省,鞍山市,海城市,海城市八里骨科医院,海城市八里骨科医院,公立/专科医院,二级甲等
辽宁省,鞍山市,海城市,海城市正骨医院,海城市正骨医院,公立/综合医院,二级甲等
辽宁省,鞍山市,海城市,海城市妇幼保健院,海城市妇幼保健院,公立/综合医院,二级甲等
辽宁省,鞍山市,海城市,海城市中医院,海城市中医院,公立/综合医院,二级甲等
辽宁省,鞍山市,海城市,海城市第二医院,海城市第二医院,公立/综合医院,二级甲等
辽宁省,鞍山市,海城市,海城市中心医院,海城市中心医院,公立/综合医院,二级甲等
辽宁省,鞍山市,海城市,海城现代妇科门诊部,海城市现代妇科医院,其他/专科医院,未评级
