省,市,区,全名,别名,性质,等级
辽宁省,鞍山市,铁西区,鞍山市铁西医院,鞍钢铁西医院,公立/综合医院,三级乙等
辽宁省,鞍山市,铁西区,铁西区妇幼保健所,铁西区妇幼保健所,公立/综合医院,二级乙等
辽宁省,鞍山市,铁西区,鞍山市第三产业开发公司高级医师华康医院,鞍山市第三产业开发公司高级医师华康医院,公立/综合医院,二级甲等
辽宁省,鞍山市,铁西区,鞍山市传染病医院,鞍山市传染病医院,公立/综合医院,二级甲等
辽宁省,鞍山市,铁西区,鞍山市公安医院,鞍山市公安医院,公立/综合医院,二级甲等
辽宁省,鞍山市,铁西区,鞍山市职业病防治院,鞍山市职业病防治院,公立/综合医院,二级甲等
辽宁省,鞍山市,铁西区,鞍山市第二医院,鞍山市第二医院,公立/综合医院,三级乙等
辽宁省,鞍山市,铁西区,鞍山市妇儿医院,鞍山市妇儿医院,公立/综合医院,三级甲等　　
辽宁省,鞍山市,铁西区,鞍山市铁西区人民医院,鞍山铁西区人民医院,公立/综合医院,二级甲等
辽宁省,鞍山市,铁西区,鞍山市中亚皮肤病研究所,鞍山市中亚皮肤病研究所,民营/未知,未知
辽宁省,鞍山市,铁西区,鞍山现代男科医院,鞍山现代男科医院,民营/专科医院,未评级
