省,市,区,全名,别名,性质,等级
辽宁省,抚顺市,新抚区,辽宁省抚顺市口腔医院,辽宁省抚顺市口腔医院,公立/综合医院,二级甲等
辽宁省,抚顺市,新抚区,抚顺市矿务局精神病院,抚顺市矿务局精神病院,公立/综合医院,二级甲等
辽宁省,抚顺市,新抚区,抚顺市矿务局集体企业总公司医院,抚顺市矿务局集体企业总公司医院,公立/综合医院,二级甲等
辽宁省,抚顺市,新抚区,抚顺市第四医院,抚顺市第四医院,公立/综合医院,二级甲等
辽宁省,抚顺市,新抚区,抚顺市经济开发区医院,抚顺市经济开发区医院,公立/综合医院,二级甲等
辽宁省,抚顺市,新抚区,抚顺市新抚区中医院,抚顺市新抚区中医院,公立/综合医院,二级甲等
辽宁省,抚顺市,新抚区,抚顺市新抚区第二医院,抚顺市新抚区第二医院,公立/综合医院,二级甲等
辽宁省,抚顺市,新抚区,抚顺市新抚区人民医院,抚顺市新抚区人民医院,公立/综合医院,二级甲等
辽宁省,抚顺市,新抚区,抚顺市露天区章党地区医院,抚顺市露天区章党地区医院,公立/综合医院,二级甲等
辽宁省,抚顺市,新抚区,抚顺海清中医骨病医院,抚顺海清中医骨病医院,公立/综合医院,二级甲等
辽宁省,抚顺市,新抚区,抚顺市地方病防治所,抚顺市地方病防治所,公立/综合医院,二级甲等
辽宁省,抚顺市,新抚区,抚顺市牙病防治院,抚顺市牙病防治院,公立/综合医院,二级甲等
辽宁省,抚顺市,新抚区,抚顺市新抚区第二康复医院,抚顺市新抚区第二康复医院,公立/综合医院,二级甲等
辽宁省,抚顺市,新抚区,抚顺市康复医院,抚顺市康复医院,公立/综合医院,二级甲等
辽宁省,抚顺市,新抚区,抚顺市眼病医院,抚顺市眼病医院,公立/专科医院,二级甲等
辽宁省,抚顺市,新抚区,抚顺市传染病院,抚顺市传染病院,公立/综合医院,二级甲等
辽宁省,抚顺市,新抚区,抚顺市精神病院,抚顺市精神病院,公立/综合医院,二级甲等
辽宁省,抚顺市,新抚区,抚顺市信托职工医院,抚顺市信托职工医院,公立/综合医院,二级甲等
辽宁省,抚顺市,新抚区,抚顺市轻工局职工医院,抚顺市轻工局职工医院,公立/综合医院,二级甲等
辽宁省,抚顺市,新抚区,抚顺市机械局职工医院,抚顺市机械局职工医院,公立/综合医院,二级甲等
辽宁省,抚顺市,新抚区,抚顺市新抚钢厂职工医院,抚顺市新抚钢厂职工医院,公立/综合医院,二级甲等
辽宁省,抚顺市,新抚区,抚顺市龙风矿职工医院,抚顺市龙风矿职工医院,公立/综合医院,二级甲等
辽宁省,抚顺市,新抚区,抚顺市矿务局老虎台矿职工医院,抚顺市矿务局老虎台矿职工医院,公立/综合医院,二级甲等
辽宁省,抚顺市,新抚区,抚顺市石油二厂职工医院,抚顺市石油二厂职工医院,公立/综合医院,二级甲等
辽宁省,抚顺市,新抚区,抚顺市石油一厂职工医院,抚顺市石油一厂职工医院,公立/综合医院,二级甲等
辽宁省,抚顺市,新抚区,抚顺市李石医院,抚顺市李石医院,公立/综合医院,二级甲等
辽宁省,抚顺市,新抚区,抚顺市华联医院,抚顺市华联医院,公立/综合医院,二级甲等
辽宁省,抚顺市,新抚区,抚顺市社会保险总公司医院,抚顺市社会保险总公司医院,公立/综合医院,三级乙等
辽宁省,抚顺市,新抚区,抚顺矿务局总医院,抚顺矿务局总医院,公立/综合医院,三级甲等　　
辽宁省,抚顺市,新抚区,抚顺市中医院,抚顺市中医院,公立/综合医院,三级甲等　　
辽宁省,抚顺市,新抚区,抚顺现代医院,抚顺现代女子医院,合资/专科医院,未知
辽宁省,抚顺市,新抚区,抚顺协和医院,抚顺协和医院,民营/综合医院,民营医院
辽宁省,抚顺市,新抚区,抚顺市新抚区第一医院,抚顺市新抚区第一医院,公立/综合医院,一级甲等
