省,市,区,全名,别名,性质,等级
辽宁省,丹东市,振兴区,中国人民解放军230医院,230医院,公立/综合医院,三级甲等　　
辽宁省,丹东市,振兴区,丹东东方医院,东方医院,民营/综合医院,民营医院
辽宁省,丹东市,振兴区,丹东市第二轻工业局职工医院,丹东市第二轻工业局职工医院,公立/综合医院,二级甲等
辽宁省,丹东市,振兴区,丹东市汽车制造厂职工医院,丹东市汽车制造厂职工医院,公立/综合医院,二级甲等
辽宁省,丹东市,振兴区,丹东市化纤医院,丹东市泓信医院,民营/专科医院,未知
辽宁省,丹东市,振兴区,丹东市铁路医院,丹东市铁路医院,公立/综合医院,二级甲等
辽宁省,丹东市,振兴区,丹东市康华医院,丹东市康华医院,公立/综合医院,二级甲等
辽宁省,丹东市,振兴区,丹东市振兴区二院,丹东市振兴区二院,公立/综合医院,二级甲等
辽宁省,丹东市,振兴区,丹东市振兴区医院,丹东市振兴区医院,公立/综合医院,二级甲等
辽宁省,丹东市,振兴区,丹东市振兴区中医院,丹东市振兴区中医院,公立/综合医院,二级甲等
辽宁省,丹东市,振兴区,沈后丹东干休所老年病防治医院,沈后丹东干休所老年病防治医院,公立/综合医院,二级甲等
辽宁省,丹东市,振兴区,丹东市肿瘤放疗专科医院,丹东市肿瘤放疗专科医院,公立/专科医院,二级甲等
辽宁省,丹东市,振兴区,丹东市地方病防治研究所,丹东市地方病防治研究所,公立/综合医院,二级甲等
辽宁省,丹东市,振兴区,丹东市结核病防治所,丹东市结核病防治所,公立/综合医院,二级甲等
辽宁省,丹东市,振兴区,丹东市职业病防治院,丹东市职业病防治院,公立/综合医院,二级甲等
辽宁省,丹东市,振兴区,丹东市口腔医院,丹东市口腔医院,公立/专科医院,二级甲等
辽宁省,丹东市,振兴区,丹东市传染病医院,丹东市传染病医院,公立/综合医院,二级甲等
辽宁省,丹东市,振兴区,丹东市妇女儿童医院,丹东市妇女儿童医院,公立/综合医院,二级甲等
辽宁省,丹东市,振兴区,丹东市中心医院,丹东市中心医院,公立/综合医院,三级甲等　　
辽宁省,丹东市,振兴区,丹东市中医院,丹东市中医院,公立/综合医院,三级甲等　　
辽宁省,丹东市,振兴区,沈阳铁路分局丹东医院,沈阳铁路分局丹东医院,公立/综合医院,一级甲等
