省,市,区,全名,别名,性质,等级
辽宁省,葫芦岛市,连山区,连山县妇幼保健站,连山县妇幼保健站,公立/综合医院,一级甲等
辽宁省,葫芦岛市,连山区,葫芦岛水泥厂职工医院,葫芦岛水泥厂职工医院,公立/综合医院,二级甲等
辽宁省,葫芦岛市,连山区,葫芦岛市公安医院,葫芦岛市公安医院,公立/综合医院,二级甲等
辽宁省,葫芦岛市,连山区,葫芦岛市连山区妇幼保健院,葫芦岛市连山区妇幼保健院,公立/综合医院,二级甲等
辽宁省,葫芦岛市,连山区,葫芦岛市连山区中医院,葫芦岛市连山区中医院,公立/综合医院,二级甲等
辽宁省,葫芦岛市,连山区,葫芦岛市连山区第三人民医院,葫芦岛市连山区第三人民医院,公立/综合医院,二级甲等
辽宁省,葫芦岛市,连山区,葫芦岛市连山区第二人民医院,葫芦岛市连山区第二人民医院,公立/综合医院,二级甲等
辽宁省,葫芦岛市,连山区,葫芦岛市连山区人民医院,葫芦岛市连山区人民医院,公立/综合医院,二级甲等
辽宁省,葫芦岛市,连山区,葫芦岛市骨伤医院,葫芦岛市骨伤医院,公立/综合医院,二级甲等
辽宁省,葫芦岛市,连山区,葫芦岛市妇幼保健院,葫芦岛市妇幼保健院,公立/综合医院,二级甲等
辽宁省,葫芦岛市,连山区,葫芦岛爱尔眼科医院,葫芦岛爱尔眼科,民营/专科医院,民营医院
辽宁省,葫芦岛市,连山区,锦西炼油厂职工医院,锦西炼油厂职工医院,公立/综合医院,一级甲等
辽宁省,葫芦岛市,连山区,杨杖子经济技术开发区医院,杨杖子经济技术开发区医院,公立/综合医院,一级甲等
辽宁省,葫芦岛市,连山区,锦西炼油化工总厂职工医院,锦西炼油化工总厂职工医院,公立/综合医院,一级甲等
辽宁省,葫芦岛市,连山区,锦西化工总厂职工医院,锦西化工总厂职工医院,公立/综合医院,一级甲等
辽宁省,葫芦岛市,连山区,锦西化工集团公司职工医院,锦西化工集团公司职工医院,公立/综合医院,一级甲等
辽宁省,葫芦岛市,连山区,辽宁省第一建筑工程公司医院,辽宁省第一建筑工程公司医院,公立/综合医院,一级甲等
辽宁省,葫芦岛市,连山区,第一建筑工程公司医院,第一建筑工程公司医院,公立/综合医院,一级甲等
