省,市,区,全名,别名,性质,等级
辽宁省,葫芦岛市,兴城市,辽宁省复员军人康宁医院,辽宁省复员军人康宁医院,公立/综合医院,二级甲等
辽宁省,葫芦岛市,兴城市,国营锦华机械厂职工医院,国营锦华机械厂职工医院,公立/综合医院,一级甲等
辽宁省,葫芦岛市,兴城市,兴城市城郊医院,兴城市城郊医院,公立/综合医院,二级甲等
辽宁省,葫芦岛市,兴城市,兴城市公费医院,兴城市公费医院,公立/综合医院,二级甲等
辽宁省,葫芦岛市,兴城市,兴城市结核病防治所,兴城市结核病防治所,公立/综合医院,二级甲等
辽宁省,葫芦岛市,兴城市,兴城市脑瘫治疗中心,兴城市脑瘫治疗中心,公立/综合医院,二级甲等
辽宁省,葫芦岛市,兴城市,兴城市血栓病医院,兴城市血栓病医院,公立/综合医院,二级甲等
辽宁省,葫芦岛市,兴城市,兴城脑瘫康复医院,兴城脑瘫康复医院,民营/综合医院,二级甲等
辽宁省,葫芦岛市,兴城市,兴城市妇幼保健院,兴城市妇幼保健院,公立/综合医院,二级甲等
辽宁省,葫芦岛市,兴城市,兴城市中医院,兴城市中医院,公立/综合医院,二级甲等
辽宁省,葫芦岛市,兴城市,兴城市第三人民医院,兴城市第三人民医院,公立/综合医院,二级甲等
辽宁省,葫芦岛市,兴城市,兴城市第二人民医院,兴城市第二人民医院,公立/综合医院,二级甲等
辽宁省,葫芦岛市,兴城市,兴城市人民医院,兴城市人民医院,公立/综合医院,二级甲等
辽宁省,葫芦岛市,兴城市,核工业东北地质勘探局246医院,核工业东北地质勘探局246医院,公立/综合医院,一级甲等
辽宁省,葫芦岛市,兴城市,中国人民武装武警察8620部队医院,中国人民武装武警察8620部队医院,公立/综合医院,一级甲等
辽宁省,葫芦岛市,兴城市,辽宁省核工业二四六医院,辽宁省核工业二四六医院,公立/综合医院,一级甲等
辽宁省,葫芦岛市,兴城市,兴城市中医医院,兴城市中医医院,公立/中医医院,二级甲等
