省,市,区,全名,别名,性质,等级
辽宁省,营口市,站前区,营口市结核病医院,营口市结核病医院,公立/专科医院,二级甲等
辽宁省,营口市,站前区,营口市劳改总队职工医院,营口市劳改总队职工医院,公立/综合医院,二级甲等
辽宁省,营口市,站前区,营口市化纤厂职工医院,营口市化纤厂职工医院,公立/综合医院,二级甲等
辽宁省,营口市,站前区,营口市医院,营口市医院,公立/综合医院,二级甲等
辽宁省,营口市,站前区,营口市造纸厂医院,营口市造纸厂医院,公立/综合医院,二级甲等
辽宁省,营口市,站前区,营口市站前区专科医院,营口市站前区专科医院,公立/综合医院,二级甲等
辽宁省,营口市,站前区,营口市站前医院,营口市站前医院,公立/综合医院,二级甲等
辽宁省,营口市,站前区,营口市职业病防治院,营口市职业病防治院,公立/综合医院,二级甲等
辽宁省,营口市,站前区,营口市皮肤病医院,营口市皮肤病医院,民营/综合医院,二级甲等
辽宁省,营口市,站前区,营口骨伤医院,营口骨伤医院,民营/综合医院,二级甲等
辽宁省,营口市,站前区,营口市妇幼保健院,营口市妇幼保健院,公立/综合医院,二级甲等
辽宁省,营口市,站前区,营口市第二人民医院,营口市第二人民医院,公立/综合医院,二级甲等
辽宁省,营口市,站前区,营口市中医院,营口市中医院,公立/综合医院,三级乙等
辽宁省,营口市,站前区,营口市中心医院,营口市中心医院,公立/综合医院,三级甲等　　
辽宁省,营口市,站前区,营口市妇产科医院,营口市妇产科医院,公立/综合医院,一级甲等
辽宁省,营口市,站前区,营口市传染病院,营口市传染病院,公立/综合医院,一级甲等
辽宁省,营口市,站前区,营口市站前区康复医院,营口市站前区康复医院,公立/综合医院,未知
辽宁省,营口市,站前区,营口博爱医院,营口博爱医院,公立/综合医院,一级甲等
辽宁省,营口市,站前区,营口市监狱医院,营口市监狱医院,公立/综合医院,一级甲等
辽宁省,营口市,站前区,营口市职工医院,营口市职工医院,公立/综合医院,一级甲等
辽宁省,营口市,站前区,营口市血栓病医院,营口市血栓病医院,公立/综合医院,一级甲等
