省,市,区,全名,别名,性质,等级
辽宁省,营口市,大石桥市,大石桥市中医院,大石桥市中医院,公立/综合医院,未知
辽宁省,营口市,大石桥市,大石桥市铁路医院,大石桥市铁路医院,公立/综合医院,未知
辽宁省,营口市,大石桥市,大石桥市牙病防治所,大石桥市牙病防治所,公立/综合医院,二级甲等
辽宁省,营口市,大石桥市,大石桥市肛肠医院,大石桥市肛肠医院,公立/综合医院,二级甲等
辽宁省,营口市,大石桥市,大石桥市盘桥医院,大石桥市盘桥医院,民营/综合医院,二级甲等
辽宁省,营口市,大石桥市,大石桥市康复医院,大石桥市康复医院,民营/综合医院,二级甲等
辽宁省,营口市,大石桥市,大石桥市陆合医院,大石桥市陆合医院,民营/综合医院,二级甲等
辽宁省,营口市,大石桥市,大石桥市妇幼保健所,大石桥市妇幼保健所,公立/综合医院,二级甲等
辽宁省,营口市,大石桥市,大石桥市妇产医院,大石桥市妇产医院,公立/综合医院,二级甲等
辽宁省,营口市,大石桥市,大石桥市中西结合医院,大石桥市中西结合医院,公立/综合医院,二级甲等
辽宁省,营口市,大石桥市,大石桥耐火材料厂职工医院,大石桥耐火材料厂职工医院,公立/综合医院,二级甲等
辽宁省,营口市,大石桥市,大石桥市中心医院,大石桥市中心医院,公立/综合医院,三级乙等
辽宁省,营口市,大石桥市,大石桥市第三人民医院,大石桥市第三人民医院,公立/综合医院,未知
