省,市,区,全名,别名,性质,等级
辽宁省,盘锦市,双台子区,中国化学工程第九建设公司职工医院,中国化学工程第九建设公司职工医院,公立/综合医院,一级甲等
辽宁省,盘锦市,双台子区,双台子区博爱医院,双台子区博爱医院,民营/综合医院,二级甲等
辽宁省,盘锦市,双台子区,盘锦市兴隆台区人民医院,盘锦市兴隆台区人民医院,公立/综合医院,二级甲等
辽宁省,盘锦市,双台子区,盘锦市双台子区妇幼保健站,盘锦市双台子区妇幼保健站,公立/综合医院,二级甲等
辽宁省,盘锦市,双台子区,盘锦市双台子区人民医院,盘锦市双台子区人民医院,公立/综合医院,二级甲等
辽宁省,盘锦市,双台子区,盘锦市馥安医院,盘锦市馥安医院,民营/综合医院,二级甲等
辽宁省,盘锦市,双台子区,盘锦市结核病防治所,盘锦市结核病防治所,公立/综合医院,二级甲等
辽宁省,盘锦市,双台子区,盘锦市康复医院,盘锦市康复医院,公立/综合医院,二级甲等
辽宁省,盘锦市,双台子区,盘锦市传染病医院,盘锦市传染病医院,公立/综合医院,二级甲等
辽宁省,盘锦市,双台子区,辽河针炙按摩医院,辽河针炙按摩医院,民营/综合医院,二级甲等
辽宁省,盘锦市,双台子区,盘锦市友谊医院,盘锦市友谊医院,民营/综合医院,二级甲等
辽宁省,盘锦市,双台子区,盘锦市双兴骨科医院,盘锦市双兴骨科医院,民营/专科医院,二级甲等
辽宁省,盘锦市,双台子区,盘锦市妇婴医院,盘锦市妇婴医院,公立/综合医院,二级甲等
辽宁省,盘锦市,双台子区,盘锦市中医院,盘锦市中医院,公立/综合医院,二级甲等
辽宁省,盘锦市,双台子区,盘锦市辽河化工集团职工医院,盘锦市辽河化工集团职工医院,公立/综合医院,二级甲等
辽宁省,盘锦市,双台子区,盘锦市天然气化工厂职工医院,盘锦市天然气化工厂职工医院,公立/综合医院,二级甲等
辽宁省,盘锦市,双台子区,辽河油田妇幼医院,辽河油田妇幼医院,公立/综合医院,二级甲等
辽宁省,盘锦市,双台子区,盘锦市第二人民医院,盘锦市第二人民医院,公立/综合医院,三级甲等　　
辽宁省,盘锦市,双台子区,盘锦京普医院,盘锦京普医院,其他/专科医院,未评级
辽宁省,盘锦市,双台子区,辽宁省盘锦市中心医院,辽宁省盘锦市中心医院,公立/综合医院,二级甲等
辽宁省,盘锦市,双台子区,盘锦市中心医院,盘锦市中心医院,公立/综合医院,一级甲等
