省,市,区,全名,别名,性质,等级
辽宁省,盘锦市,兴隆台区,盘锦市劳动改造管教总队医院,盘锦市劳动改造管教总队医院,公立/综合医院,二级甲等
辽宁省,盘锦市,兴隆台区,盘锦市新工人民医院,盘锦市新工人民医院,公立/综合医院,二级甲等
辽宁省,盘锦市,兴隆台区,盘锦市新工医院,盘锦市新工医院,公立/综合医院,二级甲等
辽宁省,盘锦市,兴隆台区,盘锦市兴隆台区妇幼保健站,盘锦市兴隆台区妇幼保健站,公立/综合医院,二级甲等
辽宁省,盘锦市,兴隆台区,盘锦市协和医院,盘锦协和医院,民营/综合医院,未知
辽宁省,盘锦市,兴隆台区,盘锦市妇幼保健站,盘锦市妇幼保健站,公立/综合医院,二级甲等
辽宁省,盘锦市,兴隆台区,盘锦市第一人民医院,盘锦市第一人民医院,公立/综合医院,二级甲等
辽宁省,盘锦市,兴隆台区,辽河油田中心医院,辽河油田中心医院,公立/综合医院,三级甲等　　
辽宁省,盘锦市,兴隆台区,盘锦蓝天风湿病专科医院,盘锦蓝天风湿病专科医院,民营/专科医院,民营医院
辽宁省,盘锦市,兴隆台区,盘锦万众医院,盘锦万众医院,民营/综合医院,未知
辽宁省,盘锦市,兴隆台区,辽河油田第二职工医院,辽河油田第二职工医院,公立/综合医院,一级甲等
辽宁省,盘锦市,兴隆台区,盘锦市第六人民医院,盘锦市第六人民医院,公立/综合医院,一级甲等
辽宁省,盘锦市,兴隆台区,辽河石油勘探局第五职工医院,辽河石油勘探局第五职工医院,公立/综合医院,一级甲等
辽宁省,盘锦市,兴隆台区,中国人民武装警察8610部队医院,中国人民武装警察8610部队医院,公立/综合医院,一级甲等
