省,市,区,全名,别名,性质,等级
辽宁省,阜新市,海州区,阜新市第五人民医院,阜新市第五人民医院,公立/综合医院,二级甲等
辽宁省,阜新市,海州区,阜新市第四人民医院,阜新市第四人民医院,公立/综合医院,二级甲等
辽宁省,阜新市,海州区,阜新市第三人民医院,阜新市第三人民医院,公立/综合医院,二级甲等
辽宁省,阜新市,海州区,阜新市第二人民医院,阜新市第二人民医院,公立/综合医院,二级甲等
辽宁省,阜新市,海州区,阜新市机械冶金局职工医院,阜新市机械冶金局职工医院,公立/综合医院,二级甲等
辽宁省,阜新市,海州区,阜新市化工职工医院,阜新市化工职工医院,公立/综合医院,二级甲等
辽宁省,阜新市,海州区,阜新市轻工局职工医院,阜新市轻工局职工医院,公立/综合医院,二级甲等
辽宁省,阜新市,海州区,阜新市机械局职工医院,阜新市机械局职工医院,公立/综合医院,二级甲等
辽宁省,阜新市,海州区,阜新市地方职工医院,阜新市地方职工医院,公立/综合医院,二级甲等
辽宁省,阜新市,海州区,阜新矿业集团公司平安医院,阜新矿业集团公司平安医院,公立/综合医院,二级甲等
辽宁省,阜新市,海州区,阜新市海州区人民医院,阜新市海州区人民医院,公立/综合医院,二级甲等
辽宁省,阜新市,海州区,阜新矿务局职业病防治所,阜新矿务局职业病防治所,公立/综合医院,二级甲等
辽宁省,阜新市,海州区,阜新矿务局结核病医院,阜新矿务局结核病医院,公立/综合医院,二级甲等
辽宁省,阜新市,海州区,阜新市华西正骨医院,阜新市华西正骨医院,民营/综合医院,二级甲等
辽宁省,阜新市,海州区,阜新市中医院,阜新市中医院,公立/综合医院,三级乙等
辽宁省,阜新市,海州区,阜新市中心医院,阜新市中心医院,公立/综合医院,三级甲等　　
辽宁省,阜新市,海州区,阜新矿业集团公司总医院,阜新矿业集团公司总医院,公立/综合医院,三级甲等　　
辽宁省,阜新市,海州区,锦州铁路分局阜新医院,锦州铁路分局阜新医院,公立/综合医院,一级甲等
辽宁省,阜新市,海州区,中华医学会阜新分会肛肠治疗中心,中华医学会阜新分会肛肠治疗中心,公立/综合医院,一级甲等
辽宁省,阜新市,海州区,阜新铁路医院,阜新铁路医院,公立/综合医院,一级甲等
辽宁省,阜新市,海州区,阜新市康馨医院,阜新市化工医院,公立/综合医院,二级甲等
辽宁省,阜新市,海州区,阜新市妇产医院,阜新市妇产医院,公立/综合医院,二级甲等
辽宁省,阜新市,海州区,阜新市精神病医院,阜新市精神病医院,公立/综合医院,一级甲等
辽宁省,阜新市,海州区,阜新市妇幼保健院,阜新市妇幼保健院,公立/综合医院,一级甲等
辽宁省,阜新市,海州区,阜新市中医医院,阜新市中医医院,公立/综合医院,一级甲等
