省,市,区,全名,别名,性质,等级
辽宁省,辽阳市,文圣区,文圣区第二人民医院,文圣区第二人民医院,公立/综合医院,二级甲等
辽宁省,辽阳市,文圣区,文圣中心医院,文圣中心医院,公立/综合医院,二级甲等
辽宁省,辽阳市,文圣区,辽阳市第五人民医院,辽阳市第五人民医院,公立/综合医院,二级甲等
辽宁省,辽阳市,文圣区,辽阳市第三人民医院,辽阳市第三人民医院,公立/综合医院,二级甲等
辽宁省,辽阳市,文圣区,徐河肾病专科医院,徐河肾病医院,民营/专科医院,民营医院
辽宁省,辽阳市,文圣区,辽阳市传染病医院,辽阳市传染病医院,公立/综合医院,二级甲等
辽宁省,辽阳市,文圣区,辽阳苏师正骨医院,辽阳苏师正骨医院,民营/专科医院,二级甲等
辽宁省,辽阳市,文圣区,辽阳联医院,辽阳联医院,公立/综合医院,二级甲等
辽宁省,辽阳市,文圣区,辽阳市妇幼保健所,辽阳市妇幼保健所,公立/综合医院,二级甲等
辽宁省,辽阳市,文圣区,辽阳市中医院,辽阳市中医院,公立/综合医院,三级乙等
辽宁省,辽阳市,文圣区,辽阳市中心医院,辽阳市中心医院,公立/综合医院,三级甲等　　
辽宁省,辽阳市,文圣区,辽阳市文圣区第一人民医院,辽阳市文圣区第一人民医院,公立/综合医院,未知
辽宁省,辽阳市,文圣区,辽阳市文圣区第二人民医院,辽阳市文圣区第二人民医院,公立/综合医院,未知
