省,市,区,全名,别名,性质,等级
辽宁省,朝阳市,双塔区,朝阳博爱男科医院,朝阳博爱医院,民营/专科医院,未评级
辽宁省,朝阳市,双塔区,朝阳泌尿男科医院,朝阳泌尿医院,公立/专科医院,二级甲等
辽宁省,朝阳市,双塔区,朝阳眼科医院,朝阳爱尔眼科医院,民营/专科医院,未评级
辽宁省,朝阳市,双塔区,朝阳市交通医院,朝阳市交通医院,公立/综合医院,一级甲等
辽宁省,朝阳市,双塔区,朝阳市精神病院,朝阳市精神病院,公立/专科医院,二级乙等
辽宁省,朝阳市,双塔区,朝阳市结核病院,朝阳市结核病院,公立/专科医院,二级乙等
辽宁省,朝阳市,双塔区,朝阳市双塔医院,朝阳市双塔医院,公立/综合医院,二级乙等
辽宁省,朝阳市,双塔区,朝阳市传染病院,朝阳市肿瘤医院,公立/综合医院,二级乙等
辽宁省,朝阳市,双塔区,朝阳市第三医院朝阳市妇幼保健院,朝阳市第三医院朝阳市妇幼保健院,公立/综合医院,二级乙等
辽宁省,朝阳市,双塔区,朝阳县人民医院,朝阳县人民医院,公立/综合医院,二级乙等
辽宁省,朝阳市,双塔区,朝阳市中心医院,朝阳市中心医院,公立/综合医院,三级甲等　　
辽宁省,朝阳市,双塔区,朝阳市第二医院,朝阳市第二医院,公立/综合医院,三级甲等　　
辽宁省,朝阳市,双塔区,朝重（集团）有限责任公司职工医院,朝重（集团）有限责任公司职工医院,公立/综合医院,一级甲等
辽宁省,朝阳市,双塔区,朝阳肛泰医院,朝阳肛泰肛肠医院,民营/专科医院,未知
