省,市,区,全名,别名,性质,等级
辽宁省,朝阳市,凌源市,朝阳市温泉理疗医院,朝阳市温泉理疗医院,公立/综合医院,一级甲等
辽宁省,朝阳市,凌源市,凌源市劳改分局医院,凌源市劳改分局医院,公立/综合医院,二级甲等
辽宁省,朝阳市,凌源市,凌源市凌钢医院,凌源市凌钢医院,公立/综合医院,二级甲等
辽宁省,朝阳市,凌源市,凌源市正骨医院,凌源市正骨医院,公立/综合医院,二级甲等
辽宁省,朝阳市,凌源市,凌源市妇幼保健站,凌源市妇幼保健站,公立/综合医院,二级甲等
辽宁省,朝阳市,凌源市,凌源市中医院,凌源市中医院,公立/综合医院,二级甲等
辽宁省,朝阳市,凌源市,凌源市第二人民医院,凌源市第二人民医院,公立/综合医院,二级甲等
辽宁省,朝阳市,凌源市,凌源市第一人民医院,凌源市第一人民医院,公立/综合医院,二级甲等
辽宁省,朝阳市,凌源市,凌源钢铁公司总医院,凌源钢铁公司总医院,公立/综合医院,二级甲等
辽宁省,朝阳市,凌源市,凌源市宋杖子镇卫生院,凌源市清廉正骨医院,公立/综合医院,一级甲等
辽宁省,朝阳市,凌源市,辽宁省凌源监狱管理分局中心医院,辽宁省凌源监狱管理分局中心医院,公立/综合医院,二级甲等
