省,市,区,全名,别名,性质,等级
吉林省,长春市,宽城区,吉林省武警总队医院,长春武警医院肝病科,公立/综合医院,三级乙等
吉林省,长春市,宽城区,长春市仁术医院,长春市仁术医院,公立/综合医院,二级甲等
吉林省,长春市,宽城区,长春皮肤泌尿专科医院,长春皮肤泌尿专科医院,公立/专科医院,二级甲等
吉林省,长春市,宽城区,长春市人民医院,长春市人民医院,公立/综合医院,二级甲等
吉林省,长春市,宽城区,长春市精神病医院,长春市精神病医院,公立/综合医院,二级甲等
吉林省,长春市,宽城区,长春国医堂医院,长春国医堂外阴白斑医院,合资/综合医院,未知
吉林省,长春市,宽城区,中国第一汽车集团专用车厂职工医院,中国第一汽车集团专用车厂职工医院,公立/综合医院,一级甲等
吉林省,长春市,宽城区,长春嘉和医院,长春盘石医院,民营/综合医院,二级乙等
吉林省,长春市,宽城区,长春仁术医院,长春仁术医院,民营/专科医院,民营医院
吉林省,长春市,宽城区,长春现代男科医院,长春现代医院,合资/专科医院,未知
吉林省,长春市,宽城区,长春E诺眼科医院,长春E诺眼科医院,民营/专科医院,未评级
吉林省,长春市,宽城区,长春骨伤医院,长春骨伤医院,公立/专科医院,三级甲等　　
吉林省,长春市,宽城区,长春天伦不孕不育医院,长春天伦医院,其他/专科医院,未知
吉林省,长春市,宽城区,长春和美妇科专业医院,和美妇科,民营/专科医院,二级乙等
吉林省,长春市,宽城区,宽城区兰家卫生院,宽城区兰家卫生院,公立/综合医院,一级甲等
吉林省,长春市,宽城区,长春机车厂职工医院,长春机车厂职工医院,公立/综合医院,一级甲等
吉林省,长春市,宽城区,吉林省监狱管理局中心医院,吉林省监狱管理局中心医院,公立/综合医院,一级甲等
吉林省,长春市,宽城区,长春医学高等专科学校附属医院,长春医学高等专科学校附属医院,公立/综合医院,一级甲等
吉林省,长春市,宽城区,长春民族医院, 长春民族医院,公立/综合医院,二级甲等
吉林省,长春市,宽城区,长春关东妇科医院,关东妇科,民营/专科医院,未知
吉林省,长春市,宽城区,长春市宽城区肿瘤医院,长春市宽城区肿瘤医院,公立/专科医院,一级甲等
吉林省,长春市,宽城区,长春市宽城区妇幼保健所,长春市宽城区妇幼保健所,公立/综合医院,一级甲等
吉林省,长春市,宽城区,长春市宽城区民族医院,长春市宽城区民族医院,公立/综合医院,一级甲等
吉林省,长春市,宽城区,宽城区肿瘤医院,宽城区肿瘤医院,公立/专科医院,一级甲等
吉林省,长春市,宽城区,宽城区妇幼保健所,宽城区妇幼保健所,公立/综合医院,一级甲等
吉林省,长春市,宽城区,宽城区民族医院,宽城区民族医院,公立/综合医院,一级甲等
吉林省,长春市,宽城区,宽城区站前医院,宽城区站前医院,公立/综合医院,一级甲等
吉林省,长春市,宽城区,吉林炭素集团长春糖尿病专科医院,吉林炭素集团长春糖尿病专科医院,公立/专科医院,一级甲等
吉林省,长春市,宽城区,长春市宽城区站前医院,长春市宽城区站前医院,公立/综合医院,一级甲等
吉林省,长春市,宽城区,长春市宽城区铁北医院,长春市宽城区铁北医院,公立/综合医院,二级乙等
吉林省,长春市,宽城区,长春市按摩医院,长春市按摩医院,公立/综合医院,二级乙等
吉林省,长春市,宽城区,吉林省胜利医院,吉林省胜利医院,公立/综合医院,二级乙等
吉林省,长春市,宽城区,宽城区铁北医院,宽城区铁北医院,公立/综合医院,二级乙等
吉林省,长春市,宽城区,长春市春日脑血管病医院,长春市春日脑血管病医院,公立/专科医院,二级甲等
吉林省,长春市,宽城区,长春脉管病医院,长春脉管病医院,公立/专科医院,二级甲等
吉林省,长春市,宽城区,长春市神经精神病医院,长春市神经精神病医院,公立/专科医院,二级甲等
吉林省,长春市,宽城区,长春铁路分局长春医院,长春铁路分局长春医院,公立/综合医院,二级甲等
吉林省,长春市,宽城区,长春铁路医院,长春铁路医院,公立/综合医院,二级甲等
吉林省,长春市,宽城区,吉林省劳改中心医院,吉林省劳改中心医院,公立/综合医院,二级甲等
吉林省,长春市,宽城区,长春市宽城区中医院,长春市宽城区中医院,公立/综合医院,二级甲等
吉林省,长春市,宽城区,长春市凯旋医院,长春市凯旋医院,公立/综合医院,二级甲等
