省,市,区,全名,别名,性质,等级
吉林省,长春市,二道区,二道区第二医院, 二道区第二医院,公立/综合医院,一级甲等
吉林省,长春市,二道区,吉林珍爱妇产医院,珍爱妇产,民营/专科医院,民营医院
吉林省,长春市,二道区,长春市经济技术开发区中心医院,长春经开区中心甲状腺医院,公立/专科医院,三级甲等　　
吉林省,长春市,二道区,长春君安医院,长春君安医院,公立/综合医院,二级乙等
吉林省,长春市,二道区,长春圣安医院,长春圣安医院,民营/综合医院,未知
吉林省,长春市,二道区,长春烧伤医院,长春烧伤医院,公立/专科医院,二级乙等
吉林省,长春市,二道区,吉林延安医院,吉林延安医院,民营/综合医院,未评级
吉林省,长春市,二道区,长春市二道区妇幼保健院,长春市二道区妇幼保健院,公立/专科医院,一级甲等
吉林省,长春市,二道区,长春市二道河子区结核病防治所,长春市二道河子区结核病防治所,公立/专科医院,一级甲等
吉林省,长春市,二道区,二道河子区结核病防治所,二道河子区结核病防治所,公立/综合医院,一级甲等
吉林省,长春市,二道区,二道区妇幼保健院,二道区妇幼保健院,公立/综合医院,一级甲等
吉林省,长春市,二道区,二道区第二医院,二道区第二医院,公立/综合医院,一级甲等
吉林省,长春市,二道区,长春市二道区第二医院,长春市二道区第二医院,公立/综合医院,一级甲等
吉林省,长春市,二道区,长春经济技术开发区医院,长春经济技术开发区医院,公立/综合医院,一级甲等
吉林省,长春市,二道区,长春市二道区英俊医院,长春市二道区英俊医院,公立/综合医院,二级乙等
吉林省,长春市,二道区,长春市二道河子区人民医院,长春市二道河子区人民医院,公立/综合医院,二级乙等
吉林省,长春市,二道区,长春市二道区人民医院,长春市二道区人民医院,公立/综合医院,二级乙等
吉林省,长春市,二道区,二道河子区人民医院,二道河子区人民医院,公立/综合医院,二级乙等
吉林省,长春市,二道区,吉林大学中日联谊医院,吉林大学中日联谊医院,公立/综合医院,三级甲等　　
吉林省,长春市,二道区,长春拖拉机制造厂职工医院,长春拖拉机制造厂职工医院,公立/综合医院,二级甲等
吉林省,长春市,二道区,吉林大学第三医院,吉林大学第三医院,公立/综合医院,三级甲等　　
吉林省,长春市,二道区,长春经济技术开发区中心医院,长春经开区中心甲状腺医院,公立/专科医院,二级甲等
吉林省,长春市,二道区,首钢吉林柴油机厂职工医院,首钢吉林柴油机厂职工医院,公立/综合医院,一级甲等
吉林省,长春市,二道区,二道江区人民医院,二道江区人民医院,公立/综合医院,未知
吉林省,长春市,二道区,中铁第十三工程局中心医院,中铁第十三工程局中心医院,公立/综合医院,一级甲等
