省,市,区,全名,别名,性质,等级
吉林省,长春市,绿园区,长春英平风湿医院,长春英平风湿医院,民营/综合医院,未知
吉林省,长春市,绿园区,吉林北方肝胆医院,吉林北方肝胆医院,公立/专科医院,二级甲等
吉林省,长春市,绿园区,一汽总医院,一汽总医院,公立/综合医院,一级甲等
吉林省,长春市,绿园区,长春航天医院甲状腺科,长春航天甲状腺医院,公立/综合医院,二级甲等
吉林省,长春市,绿园区,航空工业总公司长春二四六医院,航空工业总公司长春二四六医院,公立/综合医院,一级甲等
吉林省,长春市,绿园区,长春市英平类风湿医院,长春市英平类风湿医院,公立/综合医院,一级甲等
吉林省,长春市,绿园区,长春市卫校附属医院,长春市卫校附属医院,公立/综合医院,一级甲等
吉林省,长春市,绿园区,长春市传染病医院,长春市传染病医院,公立/综合医院,一级甲等
吉林省,长春市,绿园区,吉林国健妇产医院,吉林国健妇产医院,民营/专科医院,民营医院
吉林省,长春市,绿园区,吉林省肝病专科医院,吉林省肝病专科医院,公立/综合医院,一级甲等
吉林省,长春市,绿园区,航空航天工业部长春二四六医院,航空航天工业部长春二四六医院,公立/综合医院,一级甲等
吉林省,长春市,绿园区,长春市绿园区城西医院,长春市绿园区城西医院,公立/综合医院,一级甲等
吉林省,长春市,绿园区,长春市郊区妇幼保健站,长春市郊区妇幼保健站,公立/专科医院,一级甲等
吉林省,长春市,绿园区,长春市绿园妇幼保健站,长春市绿园妇幼保健站,公立/专科医院,一级甲等
吉林省,长春市,绿园区,长春市郊区结核病防治所,长春市郊区结核病防治所,公立/专科医院,一级甲等
吉林省,长春市,绿园区,长春市脑血管病医院,长春市脑血管病医院,公立/专科医院,二级乙等
吉林省,长春市,绿园区,吉林省中山医院,吉林省中山医院,民营/综合医院,二级乙等
吉林省,长春市,绿园区,长春银龙纺织集团有限公司职工医院,长春银龙纺织集团有限公司职工医院,民营/综合医院,二级乙等
吉林省,长春市,绿园区,吉林省北方肝胆病医院,吉林省北方肝胆病医院,公立/综合医院,二级甲等
吉林省,长春市,绿园区,长春英平类风湿医院,长春英平类风湿医院,公立/专科医院,二级甲等
吉林省,长春市,绿园区,长春市第二医院,长春市第二医院,公立/综合医院,二级甲等
吉林省,长春市,绿园区,长春纺织厂职工医院,长春纺织厂职工医院,公立/综合医院,二级甲等
吉林省,长春市,绿园区,长春市急救中心,长春市急救中心,公立/综合医院,二级甲等
吉林省,长春市,绿园区,长春市和平囊虫病医院,长春市和平囊虫病医院,公立/专科医院,二级甲等
吉林省,长春市,绿园区,吉林北方肝胆病医院,吉林北方肝胆病医院,公立/专科医院,二级甲等
吉林省,长春市,绿园区,长春市绿园区人民医院,长春市绿园区人民医院,公立/综合医院,二级甲等
吉林省,长春市,绿园区,中国人民解放军第208医院伽玛刀研究治疗中心,中国人民解放军第208医院伽玛刀研究治疗中心,公立/专科医院,三级甲等　　
吉林省,长春市,绿园区,吉林大学第四医院,吉林大学第四医院,公立/综合医院,三级甲等　　
吉林省,长春市,绿园区,长春市绿园区中医院,长春市绿园区中医院,公立/综合医院,二级乙等
吉林省,长春市,绿园区,吉林新华医院,吉林新华医院,民营/综合医院,一级甲等
吉林省,长春市,绿园区,长春市锦西医院,长春市锦西医院,公立/综合医院,二级甲等
吉林省,长春市,绿园区,长春颈椎腰间盘医院,长春颈椎腰间盘医院,其他/专科医院,未评级
吉林省,长春市,绿园区,吉林省伤残康复医院,吉林省伤残康复医院,公立/综合医院,一级甲等
