省,市,区,全名,别名,性质,等级
吉林省,长春市,朝阳区,长春同济医院,长春肤康同济医院,其他/综合医院,未评级
吉林省,长春市,朝阳区,长春市朝阳区清和医院,长春市朝阳区清和医院,公立/综合医院,二级甲等
吉林省,长春市,朝阳区,长春市朝阳区白菊医院,长春市朝阳区白菊医院,公立/综合医院,二级甲等
吉林省,长春市,朝阳区,吉林省中医中药研究院,吉林省中医中药研究院,公立/综合医院,二级甲等
吉林省,长春市,朝阳区,长春市朝阳区人民医院,长春市朝阳区人民医院,公立/综合医院,二级甲等
吉林省,长春市,朝阳区,长春市公交医院,长春市公交医院,公立/综合医院,二级甲等
吉林省,长春市,朝阳区,朝阳区清和医院,朝阳区清和医院,公立/综合医院,二级甲等
吉林省,长春市,朝阳区,朝阳区白菊医院,朝阳区白菊医院,公立/综合医院,二级甲等
吉林省,长春市,朝阳区,长春市朝阳区中医院,长春市朝阳区中医院,公立/综合医院,二级甲等
吉林省,长春市,朝阳区,朝阳区人民医院,朝阳区人民医院,公立/综合医院,二级甲等
吉林省,长春市,朝阳区,长春市耳聋医院,长春市耳聋医院,民营/专科医院,二级甲等
吉林省,长春市,朝阳区,长春中医药大学附属针灸骨伤医院,长春中医药大学附属针灸骨伤医院,公立/综合医院,二级甲等
吉林省,长春市,朝阳区,吉林省中西医结合医院,吉林省中医中药研究院,公立/综合医院,三级甲等　　
吉林省,长春市,朝阳区,长春市儿童医院,长春市儿童医院,公立/综合医院,三级甲等　　
吉林省,长春市,朝阳区,吉林省人民医院,吉林省人民医院肿瘤生物治疗中心,公立/综合医院,三级甲等　　
吉林省,长春市,朝阳区,吉林大学第一医院,吉林大学第一医院,公立/综合医院,三级甲等　　
吉林省,长春市,朝阳区,吉林省肿瘤医院,吉林省第二人民医院,公立/专科医院,三级甲等　　
吉林省,长春市,朝阳区,吉林省中医院,吉林省中医院,公立/综合医院,三级甲等　　
吉林省,长春市,朝阳区,长春市心理医院,长春市第六医院,公立/专科医院,二级甲等
吉林省,长春市,朝阳区,吉林百合口腔医院,吉林百合口腔医院,民营/专科医院,未知
吉林省,长春市,朝阳区,长春理工大学医院,长春理工大学医院,公立/综合医院,一级甲等
吉林省,长春市,朝阳区,长春八一医院,长春八一医院,公立/综合医院,二级甲等
吉林省,长春市,朝阳区,长春春城人民医院,长春春城人民医院,公立/综合医院,二级甲等
吉林省,长春市,朝阳区,吉林心脏病医院,吉林心脏病医院,合资/综合医院,二级甲等
吉林省,长春市,朝阳区,长春普济医院,长春普济医院,民营/综合医院,二级甲等
吉林省,长春市,朝阳区,吉林省职业病防治院,吉林省职业病防治院,公立/综合医院,二级甲等
吉林省,长春市,朝阳区,长春中医药大学附属风湿病医院,长春中医药大学附属风湿病医院,公立/综合医院,二级甲等
吉林省,长春市,朝阳区,长春脊髓病医院,长春脊髓病医院,公立/综合医院,二级甲等
吉林省,长春市,朝阳区,吉林大学第三医学院分院,吉林大学第三医学院分院,公立/综合医院,二级甲等
吉林省,长春市,朝阳区,吉林省吉林中西医结合医院,吉林市第三人民医院,公立/综合医院,三级甲等　　
吉林省,长春市,朝阳区,吉林大学第三医院分院,吉林大学第三医院分院,公立/综合医院,三级甲等　　
吉林省,长春市,朝阳区,吉林大学医院,吉林大学医院,公立/综合医院,三级甲等　　
吉林省,长春市,朝阳区,国营第二二八厂职工医院,国营第二二八厂职工医院,公立/综合医院,一级甲等
吉林省,长春市,朝阳区,朝阳区小红门医院,朝阳区小红门医院,公立/综合医院,一级甲等
吉林省,长春市,朝阳区,吉林大学中日联谊医院二部,吉大三院，,公立/综合医院,一级甲等
吉林省,长春市,朝阳区,吉林大学中日联谊医院三部,吉大三院，吉林大学第三医院分院,公立/综合医院,三级甲等　　
吉林省,长春市,朝阳区,中华医学会吉林省分会附属医院吉林省医学会肛肠医院,中华医学会吉林省分会附属医院吉林省医学会肛肠医院,公立/综合医院,一级甲等
吉林省,长春市,朝阳区,长春新康呼吸专科医院,长春哮喘医院,公立/专科医院,二级甲等
吉林省,长春市,朝阳区,长春玛利亚妇科医院,长春玛利亚妇科医院,外资/专科医院,未知
吉林省,长春市,朝阳区,长春中医药大学附属医院,吉林省中医院,公立/综合医院,三级甲等　　
吉林省,长春市,朝阳区,吉林省长飞医院（原吉林省省卫协医院）,吉林省长飞医院（原吉林省省卫协医院）,公立/综合医院,一级甲等
吉林省,长春市,朝阳区,吉林中西医结合医院,吉林市第三人民医院、长春中医药大学附属医院、北华大学第三临床,公立/综合医院,三级甲等　　
吉林省,长春市,朝阳区,长春九龙皮肤病医院,长春九龙皮肤病医院,公立/专科医院,一级甲等
吉林省,长春市,朝阳区,吉林省第二建筑公司职工医院,吉林省第二建筑公司职工医院,公立/综合医院,二级甲等
吉林省,长春市,朝阳区,长春市结核病医院,长春市结核病医院,公立/综合医院,未知
吉林省,长春市,朝阳区,吉林大学口腔医院,吉林省口腔医院,公立/专科医院,三级甲等　　
吉林省,长春市,朝阳区,长春市地矿医院,长春市地矿医院,公立/综合医院,一级甲等
吉林省,长春市,朝阳区,长春市友谊医院,长春市友谊医院,公立/综合医院,一级甲等
吉林省,长春市,朝阳区,长春中医学院附属针灸骨伤医院,长春中医学院附属针灸骨伤医院,公立/综合医院,一级甲等
吉林省,长春市,朝阳区,长春市朝阳区铭仁医院,长春市朝阳区铭仁医院,公立/综合医院,一级甲等
吉林省,长春市,朝阳区,长春红星医院,长春红星医院,其他/综合医院,二级甲等
吉林省,长春市,朝阳区,长春市兴华医院,长春市兴华医院,民营/综合医院,一级甲等
吉林省,长春市,朝阳区,吉林省老科协医院,吉林省老科协医院,民营/综合医院,一级甲等
吉林省,长春市,朝阳区,长春铭仁医院,长春铭仁医院,民营/综合医院,一级甲等
吉林省,长春市,朝阳区,吉林大学第一医院邮电医院,吉林大学第一医院邮电医院,公立/综合医院,二级乙等
吉林省,长春市,朝阳区,吉林省前卫医院,吉林省前卫医院,公立/综合医院,二级乙等
吉林省,长春市,朝阳区,吉林省第一建筑公司职工医院,吉林省第一建筑公司职工医院,公立/综合医院,二级乙等
吉林省,长春市,朝阳区,吉林省体育系统运动创伤医院,吉林省体育系统运动创伤医院,公立/综合医院,二级乙等
吉林省,长春市,朝阳区,吉林乳腺病医院,吉林乳腺病医院,民营/专科医院,二级乙等
吉林省,长春市,朝阳区,长春中医药大学风湿医院,长春中医药大学风湿医院,公立/专科医院,二级乙等
吉林省,长春市,朝阳区,吉林省妇幼保健院,吉林省妇幼保健院,公立/专科医院,三级乙等
吉林省,长春市,朝阳区,长春市博爱中医院,吉林省肾病研究中心,民营/专科医院,二级甲等
吉林省,长春市,朝阳区,长春市脑积水医院,长春市脑积水医院,公立/专科医院,二级甲等
吉林省,长春市,朝阳区,长春中医学院风湿医院,长春中医学院风湿医院,公立/专科医院,二级甲等
吉林省,长春市,朝阳区,长春华厦医院,长春华厦医院,民营/综合医院,未评级
吉林省,长春市,朝阳区,中国人民解放军第四六一医院,中国人民解放军第四六一医院,公立/综合医院,三级乙等
吉林省,长春市,朝阳区,长春岳氏胃肠病医院,长春岳氏胃肠病医院,民营/专科医院,未知
吉林省,长春市,朝阳区,中国人民解放军65316医院,挺进医院,公立/综合医院,二级甲等
吉林省,长春市,朝阳区,长春铭仁医院整形美容外科,长春铭仁医院整形美容外科,民营/专科医院,未知
吉林省,长春市,朝阳区,吉林曙光男科医院,吉林曙光男科医院,公立/专科医院,未知
吉林省,长春市,朝阳区,长春玛莉娅女子医院,长春玛莉娅女子医院,民营/专科医院,未评级
吉林省,长春市,朝阳区,长春五洲皮肤病医院,长春五洲皮肤病医院,民营/专科医院,未评级
吉林省,长春市,朝阳区,长春平安医院,长春平安医院,民营/综合医院,未评级
吉林省,长春市,朝阳区,长春医科医院,长春性病专科医院,其他/专科医院,未评级
吉林省,长春市,朝阳区,长春中西医结合医院,长春中西医结合医院,其他/综合医院,未知
吉林省,长春市,朝阳区,长春九龙泌尿外科医院,长春男科医院,外资/专科医院,未评级
