省,市,区,全名,别名,性质,等级
吉林省,长春市,南关区,长春市南关区妇幼保健院,长春市南关区妇幼保健院,公立/专科医院,一级甲等
吉林省,长春市,南关区,吉林省电力医院,吉林省电力医院,公立/综合医院,二级乙等
吉林省,长春市,南关区,长春市口腔医院,长春市口腔医院,公立/专科医院,二级甲等
吉林省,长春市,南关区,长春市妇产科医院,长春妇产医院,公立/专科医院,三级甲等　　
吉林省,长春市,南关区,吉林大学第二医院民康医院,吉大二院民康医院,公立/综合医院,二级甲等
吉林省,长春市,南关区,长春市中医院,长春市中医院,公立/综合医院,三级甲等　　
吉林省,长春市,南关区,吉林大学第二医院,吉大二院,公立/综合医院,三级甲等　　
吉林省,长春市,南关区,长春市中心医院,长春市中心医院,公立/综合医院,三级甲等　　
吉林省,长春市,南关区,长春汇锋眼科医院,长春汇锋眼科医院,民营/综合医院,一级甲等
吉林省,长春市,南关区,长春中医药大学第二附属医院,长春中医药大学第二附属医院,公立/综合医院,三级甲等　　
吉林省,长春市,南关区,长春市第三医院,长春市第三医院,公立/综合医院,三级甲等　　
吉林省,长春市,南关区,长春阳光妇科医院,长春阳光妇科医院,民营/专科医院,民营医院
吉林省,长春市,南关区,长春静珠妇产科医院,长春静珠妇产医院,民营/专科医院,民营医院
吉林省,长春市,南关区,长春成方中西医结合医院,长春成方癫痫病研究院,民营/专科医院,民营医院
吉林省,长春市,南关区,长春同仁眼科医院,同仁眼科,民营/专科医院,民营医院
吉林省,长春市,南关区,长春华山皮肤病医学研究院,长春华山皮肤病医学研究院,民营/专科医院,未知
吉林省,长春市,南关区,长春同春堂皮肤病医院,长春同春堂,民营/专科医院,三级乙等
吉林省,长春市,南关区,长春阳光女子妇科医院,长春阳光女子妇科医院,民营/专科医院,未评级
吉林省,长春市,南关区,长春微创肛肠医院,长春微创肛肠医院,民营/专科医院,未知
吉林省,长春市,南关区,长春天慈医院,长春天慈医院,民营/综合医院,未知
吉林省,长春市,南关区,吉林恒达眼科医院,吉林恒达国际眼科医院、吉林恒达眼底病医院,民营/专科医院,三级乙等
吉林省,长春市,南关区,长春市华康医院,长春市华康医院,民营/综合医院,未评级
吉林省,长春市,南关区,吉林安贞医院,吉林安贞医院,其他/综合医院,二级乙等
吉林省,长春市,南关区,长春同康医院,吉林省肛肠病研究院,民营/综合医院,民营医院
吉林省,长春市,南关区,长春市整形美容医院,长春市整形美容医院,公立/综合医院,二级甲等
吉林省,长春市,南关区,长春长庚耳鼻喉医院,长春长庚耳鼻喉医院,民营/专科医院,未知
吉林省,长春市,南关区,百色地区结核病防治所,百色地区结核病防治所,公立/综合医院,一级甲等
吉林省,长春市,南关区,空军吉林长飞医院,空军吉林长飞医院,公立/综合医院,一级甲等
